itinerary_id,stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id
18467-2504010745--31679-1-10968-2504011249,1,2.53,477,cc1,al4,al16
18467-2504010745--31679-1-10968-2504011249,1,2.48,477,cc1,al4,al16
"18390-2504010700--31954,-31825-2-10968-2504011735",2,0.98,253,cc1,al10,al11
18467-2504010615--32385-1-10910-2504011111,1,2.57,581,cc2,al4,al4
18467-2504010745--32385-1-10968-2504011249,1,2.53,581,cc2,al4,al4
18467-2504010745--32385-1-10968-2504011249,1,2.48,581,cc2,al4,al4
18467-2504011220--32385-1-10910-2504011753,1,2.33,581,cc2,al4,al4
18467-2504011324--32573-0-10968-2504011614,0,3.83,649,cc3,al5,al2
18467-2504011715--32573-0-10968-2504012010,0,3.92,527,cc3,al2,al2
18467-2504010645--32573-0-10968-2504010940,0,3.92,649,cc3,al2,al2
18467-2504011940--31722-0-10968-2504012214,0,3.57,827,cc4,al3,al15
18467-2504011400--31722-0-10968-2504011634,0,3.57,1049,cc4,al3,al15
18467-2504011314--32573-1-10968-2504011741,1,1.92,670,cc4,al17,al2
18467-2504011314--32573-1-10968-2504011741,1,2.65,670,cc4,al2,al2
18467-2504010615--32573-1-10968-2504011047,1,2.25,549,cc4,al5,al2
18467-2504010615--32573-1-10968-2504011047,1,2.7,549,cc4,al2,al2
18467-2504011644--32573-1-10968-2504012133,1,2.0,549,cc4,al5,al2
18467-2504011644--32573-1-10968-2504012133,1,2.8,549,cc4,al2,al2
"18390-2504020700--31954,-31825-2-10968-2504021735",2,0.98,253,cc1,al10,al11
"18390-2504021155--31954,-31825-2-10968-2504022254",2,2.65,263,cc1,al14,al14
"18390-2504020900--31954,-31825-2-10968-2504022254",2,2.65,263,cc1,al14,al14
18467-2504020615--32385-1-10910-2504021111,1,2.57,581,cc2,al4,al4
18467-2504020745--32385-1-10968-2504021249,1,2.53,581,cc2,al4,al4
18467-2504020745--32385-1-10968-2504021249,1,2.48,581,cc2,al4,al4
18467-2504020745--32385-1-10968-2504021440,1,2.53,560,cc2,al4,al4
18467-2504020745--32385-1-10968-2504021440,1,2.38,560,cc2,al4,al4
18467-2504020615--32385-2-10968-2504021440,2,2.38,560,cc2,al4,al4
18467-2504021324--32573-0-10968-2504021614,0,3.83,527,cc3,al5,al2
18467-2504021715--32573-0-10968-2504022010,0,3.92,527,cc3,al2,al2
18467-2504020645--32573-0-10968-2504020940,0,3.92,649,cc3,al2,al2
18467-2504021940--31722-0-10968-2504022214,0,3.57,596,cc4,al3,al15
18467-2504021400--31722-0-10968-2504021634,0,3.57,827,cc4,al3,al15
18467-2504020900--31722-1-10968-2504021332,1,2.02,618,cc4,al15,al15
18467-2504020900--31722-1-10968-2504021332,1,2.78,618,cc4,al15,al15
18467-2504020615--32573-1-10968-2504021300,1,2.25,549,cc4,al5,al2
18467-2504020615--32573-1-10968-2504021300,1,2.75,549,cc4,al2,al2
"18390-2504030700--31954,-31825-2-10968-2504031735",2,0.98,284,cc1,al10,al11
18467-2504030745--32385-1-10968-2504031243,1,2.38,581,cc2,al4,al4
18467-2504030745--32385-1-10968-2504031243,1,2.35,581,cc2,al4,al4
18467-2504030615--32385-1-10910-2504031126,1,2.48,581,cc2,al4,al4
18467-2504031815--32385-1-10968-2504032357,1,2.4,581,cc2,al4,al4
18467-2504031815--32385-1-10968-2504032357,1,2.38,581,cc2,al4,al4
18467-2504031324--32573-0-10968-2504031614,0,3.83,593,cc3,al5,al2
18467-2504030645--32573-0-10968-2504030940,0,3.92,649,cc3,al2,al2
18467-2504031715--32573-0-10968-2504032010,0,3.92,788,cc3,al2,al2
18467-2504031400--31722-0-10968-2504031634,0,3.57,596,cc4,al3,al15
18467-2504031940--31722-0-10968-2504032214,0,3.57,596,cc4,al3,al15
18467-2504030615--32573-1-10968-2504031047,1,2.25,549,cc4,al5,al2
18467-2504030615--32573-1-10968-2504031047,1,2.7,549,cc4,al2,al2
18467-2504040745--31679-1-10968-2504041243,1,2.38,486,cc1,al4,al16
18467-2504040745--31679-1-10968-2504041243,1,2.35,486,cc1,al4,al16
18467-2504040615--31679-1-10910-2504041126,1,2.48,489,cc1,al4,al16
18467-2504041815--31679-1-10968-2504042357,1,2.4,457,cc1,al4,al16
18467-2504041815--31679-1-10968-2504042357,1,2.38,457,cc1,al4,al16
18467-2504040745--31679-1-10910-2504041513,1,2.38,460,cc1,al4,al16
18467-2504040615--31679-1-10910-2504041513,1,2.48,460,cc1,al4,al16
18467-2504040615--32385-1-10910-2504041126,1,2.48,581,cc2,al4,al4
18467-2504041815--32385-1-10968-2504042357,1,2.4,581,cc2,al4,al4
18467-2504041815--32385-1-10968-2504042357,1,2.38,581,cc2,al4,al4
18467-2504041720--32573-0-10968-2504042000,0,3.67,527,cc3,al2,al2
18467-2504040645--32573-0-10968-2504040929,0,3.73,649,cc3,al2,al2
18467-2504041329--32573-0-10968-2504041614,0,3.75,593,cc3,al5,al2
18467-2504041514--32573-1-10968-2504041916,1,1.92,1173,cc4,al5,al2
18467-2504041514--32573-1-10968-2504041916,1,2.52,1173,cc4,al2,al2
18467-2504040630--32573-1-10968-2504041056,1,1.92,809,cc4,al5,al2
18467-2504040630--32573-1-10968-2504041056,1,2.68,809,cc4,al2,al2
18467-2504041315--32573-1-10968-2504041756,1,1.92,809,cc4,al5,al2
18467-2504041315--32573-1-10968-2504041756,1,2.63,809,cc4,al2,al2
18467-2504051220--31679-1-10968-2504051646,1,2.28,457,cc1,al4,al16
18467-2504051220--31679-1-10968-2504051646,1,2.35,457,cc1,al4,al16
18467-2504050745--31679-1-10968-2504051243,1,2.38,457,cc1,al4,al16
18467-2504050745--31679-1-10968-2504051243,1,2.35,457,cc1,al4,al16
18467-2504051815--31679-1-10968-2504052357,1,2.4,457,cc1,al4,al16
18467-2504051815--31679-1-10968-2504052357,1,2.38,457,cc1,al4,al16
18467-2504050615--31679-1-10968-2504051243,1,2.52,457,cc1,al4,al16
18467-2504050615--31679-1-10968-2504051243,1,2.35,457,cc1,al4,al16
18467-2504051220--32385-1-10968-2504051646,1,2.28,608,cc2,al4,al4
18467-2504051220--32385-1-10968-2504051646,1,2.35,608,cc2,al4,al4
18467-2504050615--32385-1-10910-2504051105,1,2.52,581,cc2,al4,al4
18467-2504050745--32385-1-10968-2504051243,1,2.38,581,cc2,al4,al4
18467-2504050745--32385-1-10968-2504051243,1,2.35,581,cc2,al4,al4
18467-2504051220--32385-1-10910-2504051751,1,2.28,608,cc2,al4,al4
18467-2504051815--32385-1-10968-2504052357,1,2.4,581,cc2,al4,al4
18467-2504051815--32385-1-10968-2504052357,1,2.38,581,cc2,al4,al4
18467-2504051720--32573-0-10968-2504052000,0,3.67,527,cc3,al2,al2
18467-2504050645--32573-0-10968-2504050929,0,3.73,788,cc3,al2,al2
18467-2504051329--32573-0-10968-2504051614,0,3.75,555,cc3,al5,al2
18467-2504051400--31722-0-10968-2504051634,0,3.57,596,cc4,al3,al15
18467-2504051940--31722-0-10968-2504052214,0,3.57,596,cc4,al3,al15
18467-2504050630--32573-1-10968-2504051056,1,1.92,809,cc4,al5,al2
18467-2504050630--32573-1-10968-2504051056,1,2.68,809,cc4,al2,al2
18467-2504050615--32385-1-10910-2504051105,1,2.52,770,cc4,al4,al4
18467-2504050800--31722-1-10968-2504051322,1,1.92,618,cc4,al8,al15
18467-2504050800--31722-1-10968-2504051322,1,2.78,618,cc4,al15,al15
18467-2504050700--31722-1-10968-2504051322,1,2.05,618,cc4,al12,al15
18467-2504050700--31722-1-10968-2504051322,1,2.78,618,cc4,al15,al15
"18390-2504060700--31954,-31825-2-10968-2504061735",2,0.98,329,cc1,al10,al11
"18390-2504061155--31954,-31825-2-10968-2504062254",2,2.65,370,cc1,al14,al14
"18390-2504060700--31954,-31825-3-10968-2504062358",3,0.98,296,cc1,al10,al11
18467-2504060615--32385-1-10910-2504061126,1,2.48,581,cc2,al4,al4
18467-2504061720--32573-0-10968-2504062000,0,3.67,527,cc3,al2,al2
18467-2504060645--32573-0-10968-2504060929,0,3.73,649,cc3,al2,al2
18467-2504061329--32573-0-10968-2504061614,0,3.75,649,cc3,al5,al2
18467-2504061400--31722-0-10968-2504061634,0,3.57,827,cc4,al3,al15
18467-2504061940--31722-0-10968-2504062214,0,3.57,827,cc4,al3,al15
18467-2504060630--32573-1-10968-2504061056,1,1.92,670,cc4,al5,al2
18467-2504060630--32573-1-10968-2504061056,1,2.68,670,cc4,al2,al2
18467-2504060900--31722-1-10968-2504061327,1,2.02,739,cc4,al15,al15
18467-2504060900--31722-1-10968-2504061327,1,2.78,739,cc4,al15,al15
18467-2504061100--31722-1-10968-2504061602,1,2.05,618,cc4,al13,al15
18467-2504061100--31722-1-10968-2504061602,1,2.78,618,cc4,al15,al15
