itinerary_id,price,flight_number,departure_time,arrival_time,number_of_stops,marketing_airline,operating_airline,is_self_transfer,Score,depart_date,depart_time,arrival_date,arrival_time_only,duration_in_hrs,origin_airport,destination_airport,flight_id,cabin_class_id
18467-2504010745--31679-1-10968-2504011249,C$477,6340,2025-04-01 7:45,2025-04-01 10:17,1,American Airlines,American Airlines,False,0.544887,2025-04-01,7:45:00,2025-04-01,10:17:00,2.53,YYZ,ATL,FL6340,cc1
18467-2504010745--31679-1-10968-2504011249,C$477,6482,2025-04-01 11:20,2025-04-01 12:49,1,American Airlines,American Airlines,False,0.544887,2025-04-01,11:20:00,2025-04-01,12:49:00,2.48,ATL,DFW,FL6482,cc1
"18390-2504010700--31954,-31825-2-10968-2504011735",C$253,2205,2025-04-01 7:00,2025-04-01 7:59,2,American Airlines,American Airlines,True,0.462699,2025-04-01,7:00:00,2025-04-01,7:59:00,0.98,YTZ,YOW,FL2205,cc1
18467-2504010615--32385-1-10910-2504011111,C$581,2662,2025-04-01 6:15,2025-04-01 8:49,1,United,Air Canada,False,0.576769,2025-04-01,6:15:00,2025-04-01,8:49:00,2.57,YYZ,ATL,FL2662,cc2
18467-2504010745--32385-1-10968-2504011249,C$581,2988,2025-04-01 7:45,2025-04-01 10:17,1,United,Air Canada,False,0.5653,2025-04-01,7:45:00,2025-04-01,10:17:00,2.53,YYZ,ATL,FL2988,cc2
18467-2504010745--32385-1-10968-2504011249,C$581,414,2025-04-01 11:20,2025-04-01 12:49,1,Delta,Delta,False,0.5653,2025-04-01,11:20:00,2025-04-01,12:49:00,2.48,ATL,DFW,FL414,cc2
18467-2504010745--32385-1-10968-2504011249,C$581,414,2025-04-01 11:20,2025-04-01 12:49,1,Delta,Delta,False,0.5653,2025-04-01,11:20:00,2025-04-01,12:49:00,2.48,YYZ,YUL,FL414,cc2
18467-2504011220--32385-1-10910-2504011753,C$581,2835,2025-04-01 12:20,2025-04-01 14:40,1,Delta,Delta,False,0.538065,2025-04-01,12:20:00,2025-04-01,14:40:00,2.33,YYZ,ATL,FL2835,cc2
18467-2504010600--32385-1-10968-2504011158,C$560,5066,2025-04-01 6:00,2025-04-01 8:00,1,Delta,Delta,False,0.522434,2025-04-01,6:00:00,2025-04-01,8:00:00,2.0,YYZ,JFK,FL5066,cc2
18467-2504010600--32385-1-10968-2504011158,C$560,356,2025-04-01 8:45,2025-04-01 11:58,1,Delta,Delta,False,0.522434,2025-04-01,8:45:00,2025-04-01,11:58:00,4.22,JFK,DFW,FL356,cc2
18467-2504011324--32573-0-10968-2504011614,C$649,3993,2025-04-01 13:24,2025-04-01 16:14,0,Delta,Endeavor Air,False,0.894173,2025-04-01,13:24:00,2025-04-01,16:14:00,3.83,YYZ,DFW,FL3993,cc3
18467-2504011715--32573-0-10968-2504012010,C$527,1111,2025-04-01 17:15,2025-04-01 20:10,0,Delta,Delta,False,0.999,2025-04-01,17:15:00,2025-04-01,20:10:00,3.92,YYZ,DFW,FL1111,cc3
18467-2504010645--32573-0-10968-2504010940,C$649,1169,2025-04-01 6:45,2025-04-01 9:40,0,Delta,Delta,False,0.795642,2025-04-01,6:45:00,2025-04-01,9:40:00,3.92,YYZ,DFW,FL1169,cc3
18467-2504011940--31722-0-10968-2504012214,C$827,8019,2025-04-01 19:40,2025-04-01 22:14,0,Delta,Delta,False,0.999,2025-04-01,19:40:00,2025-04-01,22:14:00,3.57,YYZ,DFW,FL8019,cc4
