Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
A L Mangham Jr. Regional Airport,OCH,KOCH,US,Nacogdoches,OCH,31.57788,-94.70668,America/Chicago,
A P Hill Army Airfield (Fort A P Hill),APH,KAPH,US,Bowling Green,,38.06968,-77.31809,America/New_York,
Aban Uqua Airportse,QKA,KQKA,US,KXXQO City,,-14.735092,-91.112751,Etc/GMT+6,
Abbeville Chris Crusta Memorial Airport,,KIYA,US,New Iberia,ARA,29.97161,-92.0847,America/Chicago,
Aberdeen Regional Airport,ABR,KABR,US,Aberdeen,ABR,45.4497,-98.42148,America/Chicago,374.0
Abernathy Field,,KGZS,US,Pulaski,,35.15062,-87.05316,America/Chicago,
Abilene Regional Airport,ABI,KABI,US,Abilene,ABI,32.41124,-99.68203,America/Chicago,840.0
Abraham Lincoln Capital Airport,SPI,KSPI,US,Springfield,SPI,39.8441,-89.67789,America/Chicago,389.0
Acadiana Regional Airport,ARA,KARA,US,New Iberia,ARA,30.0377,-91.88373,America/Chicago,
Accomack County Airport,MFV,KFMV,US,,,37.64318,-75.76106,America/New_York,
Ada Municipal Airport,ADT,KADH,US,Ada,,34.80314,-96.6714,America/Chicago,
Adak Airport,ADK,PADK,US,Adak,,51.87796,-176.64603,America/Adak,39.0
Adams Field,LIT,KLIT,US,Little Rock,LIT,34.73009,-92.22431,America/Chicago,5860.0
Addington Field,EKX,KEKX,US,Elizabethtown,EKX,37.68945,-85.92552,America/New_York,
Addison Airport,ADS,KADS,US,Dallas,DFW,32.96846,-96.83667,America/Chicago,
Adirondack Regional Airport,SLK,KSLK,US,Saranac Lake,SLK,44.38025,-74.20483,America/New_York,561.0
Aeroflex-Andover Airport,,,US,,,41.0089,-74.73791,America/New_York,
Afton Municipal Airport,AFO,KAFO,US,Afton,,42.70924,-110.94075,America/Denver,
"Ahoskie, Tri-County Airport",,KASJ,US,,,36.2975,-77.17083,America/New_York,
Aiken Municipal Airport,AIK,KAIK,US,Aiken,AIK,33.64977,-81.67887,America/New_York,
Ainsworth Municipal Airport,ANW,KANW,US,Ainsworth,,42.57917,-99.99318,America/Chicago,
Airglades Airport,,,US,Clewiston,,26.735195,-81.051078,America/New_York,
Airlake Airport,,KLVN,US,Minneapolis,,44.62785,-93.22811,America/Chicago,
Aitkin Municipal Airport,,KAIT,US,Aitkin,,46.54746,-93.67691,America/Chicago,
AJ Eisenberg Airport,ODW,KOKH,US,Oak Harbor,ODW,48.25154,-122.67814,America/Los_Angeles,
Akhiok Airport,AKK,PAKH,US,Akhiok,AKK,56.94003,-154.18083,America/Anchorage,
Akiachak Airport,KKI,,US,Akiachak,KKI,60.90623,-161.42742,America/Anchorage,
Akiak Airport,AKI,PFAK,US,Akiak,AKI,60.90481,-161.22702,America/Anchorage,
Akron-Canton Regional Airport,CAK,KCAK,US,Akron,CAK,40.91617,-81.44234,America/New_York,1489.0
Akron Fulton International Airport,AKC,KAKR,US,Akron,CAK,41.03728,-81.46678,America/New_York,
Akron-Washington County Airport,AKO,KAKO,US,Akron,,40.17526,-103.22244,America/Denver,
Akutan Seaplane Base,KQA,PAUT,US,Akutan,KQA,54.13338,-165.77792,America/Anchorage,
Alakanuk Airport,AUK,PAUK,US,Alakanuk,AUK,62.67969,-164.64894,America/Nome,
Alamogordo-White Sands Regional Airport,ALM,KALM,US,Alamogordo,ALM,32.83981,-105.99054,America/Denver,
Albany County Airport,ALB,KALB,US,Albany,ALB,42.74813,-73.80234,America/New_York,6195.0
Albany Naval Air Station (historical),NAB,,US,Albany,ABY,31.59778,-84.08917,America/New_York,
Albert J Ellis Airport,OAJ,KOAJ,US,Richlands,OAJ,34.83051,-77.60609,America/New_York,
Albert Lea Municipal Airport,AEL,KAEL,US,Albert Lea,AUM,43.68135,-93.36743,America/Chicago,
Albert Whitted Airport,SPG,KSPG,US,St Petersburg,PIE,27.7641,-82.62837,America/New_York,
Albertus Airport,FEP,KFEP,US,Freeport,FEP,42.24641,-89.58178,America/Chicago,
Albertville Regional Airport,,,US,Gadsden,GAD,34.22889,-86.25556,America/Chicago,
Albion Municipal Airport,,KBVN,US,Albion,,41.72918,-98.05617,America/Chicago,
"ALBUQUERQUE (ARTCC),NM.",,KZAB,US,,,35.05,106.6,Asia/Shanghai,
Albuquerque International Airport,ABQ,KABQ,US,Albuquerque,ABQ,35.04199,-106.60697,America/Denver,6619.0
Aleknagik /New Airport,WKK,,US,Aleknagik,WKK,59.28256,-158.61767,America/Anchorage,
Aleneva Airport,AED,,US,,,58.03333,-152.89999,America/Anchorage,
Alexander Field South Wood County Airport,ISW,KISW,US,Wisconsin Rapids,ISW,44.36082,-89.83277,America/Chicago,
Alexander Salamon Airport,,KAMT,US,West Union,,38.8549,-83.56348,America/New_York,
Alexandria Esler Regional Airport,ESF,KESF,US,Alexandria,AEX,31.3949,-92.29569,America/Chicago,
Alexandria International Airport,AEX,KAEX,US,Alexandria,AEX,31.32243,-92.5429,America/Chicago,934.0
Algona Municipal Airport,AXG,KAXA,US,Algona,,43.07774,-94.27191,America/Chicago,
Alice International Airport,ALI,KALI,US,Alice,ALI,27.74114,-98.02722,America/Chicago,
Alitak Seaplane Base,ALZ,,US,Lazy Bay,ALZ,56.89839,-154.24766,America/Anchorage,
Allakaket Airport,AET,PFAL,US,Allakaket,AET,66.54959,-152.63136,America/Anchorage,
Allegheny County Airport,AGC,KAGC,US,Pittsburgh,PIT,40.35479,-79.92977,America/New_York,
Allen Army Air Field,BIG,PABI,US,Delta Junction Ft Greely,,63.99444,-145.72028,America/Anchorage,
Allen C Perkinson Municipal Airport,BKT,KBKT,US,Blackstone,PTB,37.07459,-77.96278,America/New_York,
Allen Parish Airport,,KACP,US,Oakdale,,30.75056,-92.68861,America/Chicago,
Allendale County Airport,,KAQX,US,Allendale,,32.995098,-81.270203,America/New_York,
Allentown Queen City Municipal Airport,,KXLL,US,Allentown,ABE,40.57384,-75.48817,America/New_York,
Alliance Municipal Airport,AIA,KAIA,US,Alliance,AIA,42.05303,-102.80409,America/Denver,
Alpena County Regional Airport,APN,KAPN,US,Alpena,APN,45.07807,-83.56026,America/Detroit,367.0
Alpine Airstrip,,PALP,US,Nuiqsut,,70.33333,-150.93333,America/Anchorage,
Alpine - Casparis Municipal Airport,ALE,,US,Alpine,ALE,30.38794,-103.67662,America/Chicago,
Altoona-Blair County Airport,AOO,KAOO,US,Altoona,AOO,40.29619,-78.32001,America/New_York,
Alturas Municipal Airport,,KAAT,US,Alturas,,41.48267,-120.56635,America/Los_Angeles,
Altus Air Force Base,LTS,KLTS,US,Altus,,34.66396,-99.27425,America/Chicago,
Altus Municipal Airport,AXS,KAXS,US,Altus,,34.69812,-99.3387,America/Chicago,
Alva Regional Airport,,KAVK,US,Alva,,36.77309,-98.67009,America/Chicago,
Ambler Airport,ABL,PAFM,US,Ambler,ABL,67.10236,-157.85951,America/Anchorage,
Amedee Army Airfield,AHC,KAHC,US,Herlong,,40.266,-120.13943,America/Los_Angeles,
Amery Municipal Airport,AHH,KAHH,US,Amery,,45.2831,-92.37253,America/Chicago,
Ames Municipal Airport,AMW,KAMW,US,Ames,AMW,41.99193,-93.62161,America/Chicago,
Amook Bay Seaplane Base,AOS,,US,Amook Bay,AOS,57.47161,-153.81542,America/Anchorage,
Anacortes Airport,OTS,,US,Anacortes,ODW,48.49809,-122.66147,America/Los_Angeles,
Anaktuvuk Pass Airport,AKP,PAKP,US,Anaktuvuk Pass,AKP,68.13738,-151.73936,America/Anchorage,
Anchorage International Airport,ANC,PANC,US,Anchorage,ANC,61.17417,-149.99611,America/Anchorage,26792.0
"Andalusia, Andalusia-Opp Municipal Airport",,,US,Enterprise,ETS,31.30833,-86.39222,America/Chicago,
Anderson County Airport,AND,KAND,US,Anderson,AND,34.49483,-82.70875,America/New_York,
Anderson Municipal Airport,AID,KAID,US,Anderson,AID,40.10893,-85.61581,America/Indiana/Indianapolis,
Andrew Othole Memorial Airport,,KXNI,US,Zuni,,35.060675,-108.9376,America/Denver,
Angel Fire Airport,AXX,KAXX,US,Angel Fire,AXX,36.41079,-105.29057,America/Denver,
Angelina County Airport,LFK,KLFK,US,Lufkin,LFK,31.23408,-94.75021,America/Chicago,
Angoon Seaplane Base,AGN,PAGN,US,Angoon,AGN,57.5055,-134.59627,America/Juneau,
Aniak Airport,ANI,PANI,US,Aniak,ANI,61.58139,-159.54278,America/Anchorage,
Animas Air Park,AMK,,US,Durango,DRO,37.20318,-107.8692,America/Denver,
Ankeny Regional Airport,,KIKV,US,Ankeny,DSM,41.695,-93.5687,America/Chicago,
Ann Arbor Municipal,ARB,KARB,US,Ann Arbor,ARB,42.22282,-83.7455,America/Detroit,
Annette Island Airport,ANN,PANT,US,Metlakatla,,55.04244,-131.57223,America/Metlakatla,
Anniston Metropolitan Airport,ANB,KANB,US,Anniston,ANB,33.59029,-85.85253,America/Chicago,
Anoka County Airport,,KANE,US,Minneapolis,MSP,45.14469,-93.21106,America/Chicago,
Anson County Airport,,KAFP,US,Wadesboro,,35.02404,-80.07867,America/New_York,
Anthony Medical Center Heliport,,,US,,,37.1557,-98.01761,America/Chicago,
Anthony Municipal Airport,ANY,KANY,US,Anthony,,37.15447,-98.07772,America/Chicago,
Antlers Municipal Airport,ATE,,US,Antlers,,34.19156,-95.65138,America/Chicago,
Antrim County Airport,ACB,KACB,US,Bellaire,ACB,44.98834,-85.19839,America/Detroit,
Anvik Airport,ANV,PANV,US,Anvik,ANV,62.64639,-160.19056,America/Anchorage,
Apalachicola Municipal Airport,AAF,KAAF,US,Apalachicola,,29.72938,-85.0288,America/New_York,
Apple Valley Airport,APV,KAPV,US,Apple Valley,VCV,34.57888,-117.18699,America/Los_Angeles,
