date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-04-01,18467-2504011020--31679-1-10968-2504011436,economy,fastest,476.6,C$477,N/A,5545,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-04-01T10:20:00,2025-04-01T11:39:00,79,1,WestJet,SkyWest DBA Delta Connection,False,False,False,False,0.999
2025-04-01,18467-2504011020--31679-1-10968-2504011436,economy,fastest,476.6,C$477,N/A,8400,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-04-01T12:40:00,2025-04-01T14:36:00,176,1,WestJet,Delta,False,False,False,False,0.999
2025-04-01,18467-2504010600--31679-1-10968-2504011037,economy,fastest,476.6,C$477,N/A,6342,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-04-01T06:00:00,2025-04-01T07:32:00,92,1,WestJet,Endeavor Air DBA Delta Connection,False,False,False,False,0.611641
2025-04-01,18467-2504010600--31679-1-10968-2504011037,economy,fastest,476.6,C$477,N/A,7021,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-04-01T08:31:00,2025-04-01T10:37:00,186,1,WestJet,Delta,False,False,False,False,0.611641
2025-04-01,18467-2504011320--31679-1-10968-2504011758,economy,fastest,476.6,C$477,N/A,6343,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-04-01T13:20:00,2025-04-01T14:36:00,76,1,WestJet,Endeavor Air DBA Delta Connection,False,False,False,False,0.627755
2025-04-01,18467-2504011320--31679-1-10968-2504011758,economy,fastest,476.6,C$477,N/A,7019,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-04-01T15:59:00,2025-04-01T17:58:00,179,1,WestJet,Delta,False,False,False,False,0.627755
2025-04-01,18467-2504011715--31679-1-10968-2504012155,economy,fastest,449.3,C$450,N/A,6476,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-04-01T17:15:00,2025-04-01T18:34:00,79,1,WestJet,SkyWest DBA Delta Connection,False,False,False,False,0.827052
2025-04-01,18467-2504011715--31679-1-10968-2504012155,economy,fastest,449.3,C$450,N/A,8330,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-04-01T20:00:00,2025-04-01T21:55:00,175,1,WestJet,Delta,False,False,False,False,0.827052
2025-04-01,18467-2504010745--31679-1-10968-2504011249,economy,fastest,476.6,C$477,N/A,6340,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-04-01T07:45:00,2025-04-01T10:17:00,152,1,WestJet,Delta,False,False,False,False,0.544887
2025-04-01,18467-2504010745--31679-1-10968-2504011249,economy,fastest,476.6,C$477,N/A,6482,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-04-01T11:20:00,2025-04-01T12:49:00,149,1,WestJet,Delta,False,False,False,False,0.544887
