date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-11-01,18467-2511011320--31679-1-10910-2511011749,economy,fastest,490.44,C$491,N/A,7106,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T13:20:00,2025-11-01T15:37:00,137,1,WestJet,Delta,False,False,False,False,0.999
2025-11-01,18467-2511011320--31679-1-10910-2511011749,economy,fastest,490.44,C$491,N/A,7669,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T16:34:00,2025-11-01T17:49:00,135,1,WestJet,Delta,False,False,False,False,0.999
2025-11-01,18467-2511011855--31679-1-10910-2511012338,economy,fastest,490.44,C$491,N/A,6768,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T18:55:00,2025-11-01T21:16:00,141,1,WestJet,Delta,False,False,False,False,0.881682
2025-11-01,18467-2511011855--31679-1-10910-2511012338,economy,fastest,490.44,C$491,N/A,6475,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T22:25:00,2025-11-01T23:38:00,133,1,WestJet,Delta,False,False,False,False,0.881682
2025-11-01,18467-2511010600--31679-1-10910-2511011115,economy,fastest,490.44,C$491,N/A,8135,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T06:00:00,2025-11-01T08:20:00,140,1,WestJet,Delta,False,False,False,False,0.813625
2025-11-01,18467-2511010600--31679-1-10910-2511011115,economy,fastest,490.44,C$491,N/A,7237,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T10:00:00,2025-11-01T11:15:00,135,1,WestJet,Delta,False,False,False,False,0.813625
2025-11-01,18467-2511011130--31679-1-10910-2511011749,economy,fastest,490.44,C$491,N/A,6479,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T11:30:00,2025-11-01T13:44:00,134,1,WestJet,Delta,False,False,False,False,0.744253
2025-11-01,18467-2511011130--31679-1-10910-2511011749,economy,fastest,490.44,C$491,N/A,7669,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T16:34:00,2025-11-01T17:49:00,135,1,WestJet,Delta,False,False,False,False,0.744253
2025-11-01,18467-2511011710--31679-1-10910-2511012338,economy,fastest,490.44,C$491,N/A,6638,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T17:10:00,2025-11-01T19:27:00,137,1,WestJet,Delta,False,False,False,False,0.668736
2025-11-01,18467-2511011710--31679-1-10910-2511012338,economy,fastest,490.44,C$491,N/A,6475,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T22:25:00,2025-11-01T23:38:00,133,1,WestJet,Delta,False,False,False,False,0.668736
2025-11-01,18467-2511010745--31679-1-10910-2511011459,economy,fastest,490.44,C$491,N/A,7129,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T07:45:00,2025-11-01T10:00:00,135,1,WestJet,Delta,False,False,False,False,0.665869
2025-11-01,18467-2511010745--31679-1-10910-2511011459,economy,fastest,490.44,C$491,N/A,6986,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T13:45:00,2025-11-01T14:59:00,134,1,WestJet,Delta,False,False,False,False,0.665869
2025-11-01,18467-2511010600--32385-1-10968-2511011015,premium_economy,fastest,607.49,C$608,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T06:00:00,2025-11-01T08:20:00,140,1,Delta,Delta,False,False,False,False,0.644791
2025-11-01,18467-2511010600--32385-1-10968-2511011015,premium_economy,fastest,607.49,C$608,N/A,961,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-11-01T09:00:00,2025-11-01T10:15:00,135,1,Delta,Delta,False,False,False,False,0.644791
2025-11-01,18467-2511011320--32385-1-10910-2511011749,premium_economy,fastest,607.49,C$608,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T13:20:00,2025-11-01T15:37:00,137,1,Delta,Delta,False,False,False,False,0.765979
2025-11-01,18467-2511011320--32385-1-10910-2511011749,premium_economy,fastest,607.49,C$608,N/A,2780,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-11-01T16:34:00,2025-11-01T17:49:00,135,1,Delta,Delta,False,False,False,False,0.765979
2025-11-01,18467-2511010745--32385-1-10968-2511011215,premium_economy,fastest,607.49,C$608,N/A,2988,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-11-01T07:45:00,2025-11-01T10:00:00,135,1,Delta,Delta,False,False,False,False,0.640765
2025-11-01,18467-2511010745--32385-1-10968-2511011215,premium_economy,fastest,607.49,C$608,N/A,414,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-11-01T11:00:00,2025-11-01T12:15:00,135,1,Delta,Delta,False,False,False,False,0.640765
2025-11-01,18467-2511011231--32385-1-10968-2511011705,premium_economy,fastest,607.49,C$608,N/A,4941,Toronto Pearson International,N/A,Canada,Minneapolis St Paul,N/A,United States,2025-11-01T12:31:00,2025-11-01T13:46:00,135,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.999
2025-11-01,18467-2511011231--32385-1-10968-2511011705,premium_economy,fastest,607.49,C$608,N/A,2971,Minneapolis St Paul,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-11-01T14:37:00,2025-11-01T17:05:00,148,1,Delta,Delta,False,False,False,False,0.999
