date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-09-01,18467-2509010839--32573-0-10968-2509011054,economy,fastest,700.4,C$701,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T08:39:00,2025-09-01T10:54:00,195,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.447804
2025-09-01,18467-2509011445--32573-0-10968-2509011705,economy,fastest,452.69,C$453,N/A,1993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T14:45:00,2025-09-01T17:05:00,200,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.999
2025-09-01,18467-2509011845--32573-0-10968-2509012105,economy,fastest,452.69,C$453,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T18:45:00,2025-09-01T21:05:00,200,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.522683
2025-09-01,18467-2509010820--31722-0-10968-2509011042,economy,fastest,430.31,C$431,N/A,8169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T08:20:00,2025-09-01T10:42:00,202,0,United,Air Canada,FALSE,FALSE,FALSE,FALSE,0.846557
2025-09-01,18467-2509011640--31722-0-10968-2509011902,economy,fastest,430.31,C$431,N/A,8156,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T16:40:00,2025-09-01T19:02:00,202,0,United,Air Canada,FALSE,FALSE,FALSE,FALSE,0.715023
2025-09-01,18467-2509010600--32385-1-10968-2509011015,economy,fastest,439.49,C$440,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T06:00:00,2025-09-01T08:20:00,140,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.447073
2025-09-01,18467-2509010600--32385-1-10968-2509011015,economy,fastest,439.49,C$440,N/A,961,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T09:00:00,2025-09-01T10:15:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.447073
2025-09-01,18467-2509010745--32385-1-10968-2509011215,economy,fastest,439.49,C$440,N/A,2988,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T07:45:00,2025-09-01T10:00:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.457753
2025-09-01,18467-2509010745--32385-1-10968-2509011215,economy,fastest,439.49,C$440,N/A,414,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T11:00:00,2025-09-01T12:15:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.457753
2025-09-01,18467-2509010945--32385-1-10968-2509011431,economy,fastest,439.49,C$440,N/A,5073,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-09-01T09:45:00,2025-09-01T11:03:00,78,1,Delta,Endeavor Air DBA Delta Connection,FALSE,FALSE,FALSE,FALSE,0.478958
2025-09-01,18467-2509010945--32385-1-10968-2509011431,economy,fastest,439.49,C$440,N/A,1041,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T12:45:00,2025-09-01T14:31:00,166,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.478958
2025-09-01,18467-2509011320--32385-1-10968-2509011833,economy,fastest,439.49,C$440,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T13:20:00,2025-09-01T15:37:00,137,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.45967
2025-09-01,18467-2509011320--32385-1-10968-2509011833,economy,fastest,439.49,C$440,N/A,436,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T17:15:00,2025-09-01T18:33:00,138,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.45967
2025-09-01,18467-2509011215--32385-1-10968-2509011737,economy,fastest,439.49,C$440,N/A,5256,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-09-01T12:15:00,2025-09-01T13:31:00,76,1,Delta,Endeavor Air DBA Delta Connection,FALSE,FALSE,FALSE,FALSE,0.466179
2025-09-01,18467-2509011215--32385-1-10968-2509011737,economy,fastest,439.49,C$440,N/A,1543,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T15:50:00,2025-09-01T17:37:00,167,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.466179
2025-09-01,18467-2509010600--32385-1-10968-2509011015,premium_economy,fastest,607.49,C$608,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T06:00:00,2025-09-01T08:20:00,140,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.706002
2025-09-01,18467-2509010600--32385-1-10968-2509011015,premium_economy,fastest,607.49,C$608,N/A,961,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T09:00:00,2025-09-01T10:15:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.706002
2025-09-01,18467-2509011320--32385-1-10910-2509011749,premium_economy,fastest,607.49,C$608,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T13:20:00,2025-09-01T15:37:00,137,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.999
2025-09-01,18467-2509011320--32385-1-10910-2509011749,premium_economy,fastest,607.49,C$608,N/A,2780,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-09-01T16:34:00,2025-09-01T17:49:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.999
2025-09-01,18467-2509010745--32385-1-10968-2509011215,premium_economy,fastest,607.49,C$608,N/A,2988,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T07:45:00,2025-09-01T10:00:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.564356
2025-09-01,18467-2509010745--32385-1-10968-2509011215,premium_economy,fastest,607.49,C$608,N/A,414,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T11:00:00,2025-09-01T12:15:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.564356
2025-09-01,18467-2509011231--32385-1-10968-2509011705,premium_economy,fastest,806.99,C$807,N/A,4941,Toronto Pearson International,N/A,Canada,Minneapolis St Paul,N/A,United States,2025-09-01T12:31:00,2025-09-01T13:46:00,135,1,Delta,Endeavor Air DBA Delta Connection,FALSE,FALSE,FALSE,FALSE,0.513123
2025-09-01,18467-2509011231--32385-1-10968-2509011705,premium_economy,fastest,806.99,C$807,N/A,2971,Minneapolis St Paul,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T14:37:00,2025-09-01T17:05:00,148,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.513123
2025-09-01,18467-2509011855--32385-1-10910-2509012338,premium_economy,fastest,607.49,C$608,N/A,2714,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T18:55:00,2025-09-01T21:16:00,141,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.559532
2025-09-01,18467-2509011855--32385-1-10910-2509012338,premium_economy,fastest,607.49,C$608,N/A,1104,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-09-01T22:25:00,2025-09-01T23:38:00,133,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.559532
2025-09-01,18467-2509010945--32385-1-10968-2509011431,premium_economy,fastest,607.49,C$608,N/A,5073,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-09-01T09:45:00,2025-09-01T11:03:00,78,1,Delta,Endeavor Air DBA Delta Connection,FALSE,FALSE,FALSE,FALSE,0.86338
2025-09-01,18467-2509010945--32385-1-10968-2509011431,premium_economy,fastest,607.49,C$608,N/A,1041,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T12:45:00,2025-09-01T14:31:00,166,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.86338
2025-09-01,18467-2509011710--32385-1-10968-2509012211,premium_economy,fastest,607.49,C$608,N/A,1053,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T17:10:00,2025-09-01T19:27:00,137,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.554495
2025-09-01,18467-2509011710--32385-1-10968-2509012211,premium_economy,fastest,607.49,C$608,N/A,31,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T20:55:00,2025-09-01T22:11:00,136,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.554495
2025-09-01,18467-2509011855--32385-1-10968-2509020001,premium_economy,fastest,607.49,C$608,N/A,2714,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T18:55:00,2025-09-01T21:16:00,141,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.547436
2025-09-01,18467-2509011855--32385-1-10968-2509020001,premium_economy,fastest,607.49,C$608,N/A,818,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T22:45:00,2025-09-02T00:01:00,136,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.547436
2025-09-01,18467-2509011320--32385-1-10968-2509011833,premium_economy,fastest,607.49,C$608,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T13:20:00,2025-09-01T15:37:00,137,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.566188
2025-09-01,18467-2509011320--32385-1-10968-2509011833,premium_economy,fastest,607.49,C$608,N/A,436,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T17:15:00,2025-09-01T18:33:00,138,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.566188
2025-09-01,18467-2509011215--32385-1-10968-2509011737,premium_economy,fastest,607.49,C$608,N/A,5256,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-09-01T12:15:00,2025-09-01T13:31:00,76,1,Delta,Endeavor Air DBA Delta Connection,FALSE,FALSE,FALSE,FALSE,0.55855
2025-09-01,18467-2509011215--32385-1-10968-2509011737,premium_economy,fastest,607.49,C$608,N/A,1543,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T15:50:00,2025-09-01T17:37:00,167,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.55855
2025-09-01,18467-2509010839--32573-0-10968-2509011054,business,fastest,829.85,C$830,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T08:39:00,2025-09-01T10:54:00,195,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.380907
2025-09-01,18467-2509011845--32573-0-10968-2509012105,business,fastest,694.06,C$695,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T18:45:00,2025-09-01T21:05:00,200,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.695402
2025-09-01,18467-2509011445--32573-0-10968-2509011705,business,fastest,829.85,C$830,N/A,1993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T14:45:00,2025-09-01T17:05:00,200,0,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.527986
2025-09-01,18467-2509010820--32695-0-10968-2509011042,business,fastest,597.68,C$598,N/A,1031,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T08:20:00,2025-09-01T10:42:00,202,0,Air Canada,Air Canada,FALSE,FALSE,FALSE,FALSE,0.999
2025-09-01,18467-2509011640--32695-0-10968-2509011902,business,fastest,845.18,C$846,N/A,1029,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T16:40:00,2025-09-01T19:02:00,202,0,Air Canada,Air Canada,FALSE,FALSE,FALSE,FALSE,0.332612
2025-09-01,18467-2509010900--32695-1-10968-2509011311,business,fastest,1108.83,"C$1,109",N/A,5143,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T09:00:00,2025-09-01T09:55:00,115,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.29277
2025-09-01,18467-2509010900--32695-1-10968-2509011311,business,fastest,1108.83,"C$1,109",N/A,3132,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T10:45:00,2025-09-01T13:11:00,146,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.29277
2025-09-01,18467-2509010700--32695-1-10968-2509011150,business,fastest,698.18,C$699,N/A,5141,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T07:00:00,2025-09-01T07:55:00,115,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.398612
2025-09-01,18467-2509010700--32695-1-10968-2509011150,business,fastest,698.18,C$699,N/A,5186,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T09:18:00,2025-09-01T11:50:00,152,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.398612
2025-09-01,18467-2509011000--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,8903,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T10:00:00,2025-09-01T10:53:00,113,1,Air Canada,Air Canada Express - Jazz,FALSE,FALSE,FALSE,FALSE,0.333476
2025-09-01,18467-2509011000--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,4854,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T12:45:00,2025-09-01T15:19:00,154,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.333476
2025-09-01,18467-2509010900--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,5143,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T09:00:00,2025-09-01T09:55:00,115,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.326772
2025-09-01,18467-2509010900--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,4854,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T12:45:00,2025-09-01T15:19:00,154,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.326772
2025-09-01,18467-2509010815--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,503,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T08:15:00,2025-09-01T09:09:00,114,1,Air Canada,Air Canada,FALSE,FALSE,FALSE,FALSE,0.314965
2025-09-01,18467-2509010815--32695-1-10968-2509011519,business,fastest,866.88,C$867,N/A,4854,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T12:45:00,2025-09-01T15:19:00,154,1,Air Canada,United,FALSE,FALSE,FALSE,FALSE,0.314965
2025-09-01,18467-2509010820--31722-0-10968-2509011042,first,fastest,598.18,C$599,N/A,8169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T08:20:00,2025-09-01T10:42:00,202,0,United,Air Canada,FALSE,FALSE,FALSE,FALSE,0.999
2025-09-01,18467-2509011640--31722-0-10968-2509011902,first,fastest,845.9,C$846,N/A,8156,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-09-01T16:40:00,2025-09-01T19:02:00,202,0,United,Air Canada,FALSE,FALSE,FALSE,FALSE,0.626204
2025-09-01,18467-2509010600--32385-1-10968-2509011015,first,fastest,796.49,C$797,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-09-01T06:00:00,2025-09-01T08:20:00,140,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.322359
2025-09-01,18467-2509010600--32385-1-10968-2509011015,first,fastest,796.49,C$797,N/A,961,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T09:00:00,2025-09-01T10:15:00,135,1,Delta,Delta,FALSE,FALSE,FALSE,FALSE,0.322359
2025-09-01,18467-2509011725--32573-1-10968-2509012150,first,fastest,603.88,C$604,N/A,1876,Toronto Pearson International,N/A,Canada,Charlotte Douglas,N/A,United States,2025-09-01T17:25:00,2025-09-01T19:25:00,120,1,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.530035
2025-09-01,18467-2509011725--32573-1-10968-2509012150,first,fastest,603.88,C$604,N/A,3124,Charlotte Douglas,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T20:10:00,2025-09-01T21:50:00,160,1,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.530035
2025-09-01,18467-2509010700--31722-1-10968-2509011150,first,fastest,707.79,C$708,N/A,490,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-09-01T07:00:00,2025-09-01T07:55:00,115,1,United,United,FALSE,FALSE,FALSE,FALSE,0.329385
2025-09-01,18467-2509010700--31722-1-10968-2509011150,first,fastest,707.79,C$708,N/A,1297,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T09:18:00,2025-09-01T11:50:00,152,1,United,United,FALSE,FALSE,FALSE,FALSE,0.329385
2025-09-01,18467-2509011935--32573-1-10968-2509020025,first,fastest,603.88,C$604,N/A,5030,Toronto Pearson International,N/A,Canada,Charlotte Douglas,N/A,United States,2025-09-01T19:35:00,2025-09-01T21:35:00,120,1,American Airlines,PSA Airlines AS American Eagle,FALSE,FALSE,FALSE,FALSE,0.325534
2025-09-01,18467-2509011935--32573-1-10968-2509020025,first,fastest,603.88,C$604,N/A,2714,Charlotte Douglas,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T22:34:00,2025-09-02T00:25:00,171,1,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.325534
2025-09-01,18467-2509010730--32573-1-10968-2509011334,first,fastest,603.88,C$604,N/A,5192,Toronto Pearson International,N/A,Canada,Philadelphia International,N/A,United States,2025-09-01T07:30:00,2025-09-01T09:20:00,110,1,American Airlines,PSA Airlines AS American Eagle,FALSE,FALSE,FALSE,FALSE,0.38796
2025-09-01,18467-2509010730--32573-1-10968-2509011334,first,fastest,603.88,C$604,N/A,3326,Philadelphia International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T10:52:00,2025-09-01T13:34:00,222,1,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.38796
2025-09-01,18467-2509011740--32573-1-10968-2509012345,first,fastest,603.88,C$604,N/A,5886,Toronto Pearson International,N/A,Canada,Philadelphia International,N/A,United States,2025-09-01T17:40:00,2025-09-01T19:15:00,95,1,American Airlines,Piedmont Airlines,FALSE,FALSE,FALSE,FALSE,0.327969
2025-09-01,18467-2509011740--32573-1-10968-2509012345,first,fastest,603.88,C$604,N/A,1115,Philadelphia International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-09-01T21:10:00,2025-09-01T23:45:00,215,1,American Airlines,American Airlines,FALSE,FALSE,FALSE,FALSE,0.327969
