Name,country_code,iata_code,iata_prefix,iata_accounting,callsign,is international,iosa_registered,iosa_expiry,is_passenger,is_cargo,is_scheduled,total_aircrafts,average_fleet_age,accidents_last_5y,crashes_last_5y,website,twitter,facebook,instagram,linkedin
10 Tanker Air Carrier,US,,,,,N/A,,,,,,,,,,,,,,
135 Airways,US,,,,GENERAL,N/A,,,,,,,,,,,,,,
1903 Aviation,SE,,,,HIGHSCORE,N/A,,,1,,,,,,,,,,,
Air 1st Aviation Companies of Oklahoma,US,,,,ROUGHRIDER,N/A,,,,,,,,,,,,,,
"2 Sqn, No 1 Elementary Flying Training School",UK,,,,WYTON,N/A,,,,,,,,,,,,,,
21 Air,US,2I*,681,,CARGOSOUTH,N/A,0,,,1,,1,33,0,0,,,,,linkedin.com/company/21air/
213 Flight Unit,RU,,,,,N/A,,,,,,,,,,,,,,
"223rd Flight Unit, State Airline",RU,,,,CHKALOVSKAVIA,N/A,,,,,,32,32.1,,,,,,,
224th Flight Unit,RU,,,,CARGOUNIT,N/A,,,,,,,,,,,,,,
247 Aviation,UK,,,,NIGHTINGALE,N/A,,,1,1,,,,,,,,,,
247 Jet Ltd,UK,,,,CLOUDRUNNER,N/A,,,,,,,,,,,,,instagram.com/247jet/,
25Only Aviation,DE,,,,ONLYJET,N/A,,,,1,1,,,,,,,,,
2Excel Aviation,UK,,,,BROADSWORD,N/A,0,,1,1,,22,39,0,0,,,,,
2GO Air,PH,,,,ABAIR,N/A,,,,,,,,,,,,,,
32 (TR) Squadron,UK,,,,NORTHOLT,N/A,,,,,,,,,,,,,,
"34 Squadron, Royal Australian Air Force",AU,,,,,N/A,,,,,,,,,,,,,,
4 Airways,MT,,,,DUCKAIRWAYS,N/A,,,1,,,,,,,,,,,
40-Mile Air,US,Q5*,,,MILEAIR,N/A,0,,1,1,1,2,28.5,0,0,,,,,
43 Air School,ZA,,,,PRIMA,N/A,0,,,,,4,31.8,0,0,,,,,
Air 65,FR,,,,KITEBIRD,N/A,,,,,,,,,,,,,,
Air 7,US,,,,COASTALJET,N/A,,,,,,,,,,,,,,
748 Air Services,KE,FE,874,874,UMOJA,N/A,0,,1,1,,12,20.8,0,0,,,,instagram.com/748airservices/,
7Air Cargo,US,,,,CARGOBOX,N/A,,,,,,,,,,,,,,
7Star Global Airlines,NG,,,,STARWINGS,N/A,,,1,,,,,,,,,,,
84 Squadron RAF Akrotiri,UK,,,,GRIFTER,N/A,,,,,,,,,,,,,,
9Air,CN,AQ,902,902,TRANSJADE,N/A,0,,1,1,1,19,4.5,0,0,,,,,
A-ICE,IT,1C,,,,N/A,,,,,,,,,,,,,,
A-Jet Aviation,MN,,,,JETMONGOLIA,N/A,0,,,,,3,21,0,0,,,,,
A.P.G. Distribution System,FR,A1,,,,N/A,,,,,,,,,,,,facebook.com/APG-Network-378059482231206,,linkedin.com/company/674723/
A-Safar Air Services,NG,,,,AIRSAFAR,N/A,,,,,,,,,,,,,,
A2B Heli Charters,UK,,,,LONDONEYE,N/A,,,,,,,,,,,,,instagram.com/londonhelicoptercharters,linkedin.com/company/11093143
A2V,US,,,,DATABIRD,N/A,,,,,,,,,,,,facebook.com/Fly-A2V-360061101480765,instagram.com/flya2v/,
AAC - Angola Air Charter,AO,,,,ANGOLACHARTER,N/A,,,1,,,,,,,,,,,
AASANA,BO,,,,,N/A,,,,,,,,,,,,facebook.com/aasanaoficial,,
AB Aviation,KM,Y6,,,COMOROSAIRLINE,N/A,,,,,,,,,,,,facebook.com/abaviation.officiel,instagram.com/_u/Flyabaviation,
Ababeel Aviation,SD,,,,BABELAIR,N/A,,,,,,,,,,,,,,
Abaete Aerotaxi,BR,E4,,434,ABAETE,N/A,,,1,0,1,,,,,,,facebook.com/abaeteaviacao,instagram.com/voeabaete/,linkedin.com/company/abaeteaviacao
Abakan Air,RU,S5*,917,,ABAKANAIR,N/A,,,,1,,,,,,,,,,
Aban Air,IR,,710,,ABAN,N/A,,,,,,,,,,,,,,linkedin.com/company/aban-air-cargo
ABAS,CZ,,,,ABAS,N/A,,,,,,,,,,,,,,
Abavia,GE,,,,ABAZIA,N/A,,,,,,,,,,,,,,
Aberdair Aviation,KE,,,,ABERDAV,N/A,0,,,,,9,25.9,0,0,,,,,
ABS Avia,KZ,,,,ALATAU,N/A,,,,,,,,,,,,,,
ABS Jets,CZ,,,,BAIR,N/A,0,,1,,,11,8,0,0,,,facebook.com/ABSJets,instagram.com/absjets/,linkedin.com/company/abs-jets
Absolute Flight Services,ZA,,,,TITANIUM,N/A,,,1,,,,,,,,,facebook.com/AbsoluteAviationGroup,instagram.com/absolute.aviation.group/,linkedin.com/company/3064811
