date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-08-01,"18390-2508010945--31954,-31825-1-10968-2508011635",economy,fastest,900.03,C$901,N/A,2127,Toronto Island,N/A,Canada,New York Newark,N/A,United States,2025-08-01T09:45:00,2025-08-01T11:15:00,90,1,Porter Airlines (Canada) Ltd,Porter Airlines Inc,False,False,True,False,0.874695
2025-08-01,"18390-2508010945--31954,-31825-1-10968-2508011635",economy,fastest,900.03,C$901,N/A,3718,New York Newark,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-08-01T13:52:00,2025-08-01T16:35:00,223,1,Spirit Airlines,Spirit Airlines,False,False,True,False,0.874695
2025-08-01,"18390-2508010845--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,2123,Toronto Island,N/A,Canada,New York Newark,N/A,United States,2025-08-01T08:45:00,2025-08-01T10:15:00,90,1,Porter Airlines (Canada) Ltd,Porter Airlines Inc,False,False,True,False,0.999
2025-08-01,"18390-2508010845--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,3718,New York Newark,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-08-01T13:52:00,2025-08-01T16:35:00,223,1,Spirit Airlines,Spirit Airlines,False,False,True,False,0.999
2025-08-01,"18390-2508010745--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,2125,Toronto Island,N/A,Canada,New York Newark,N/A,United States,2025-08-01T07:45:00,2025-08-01T09:15:00,90,1,Porter Airlines (Canada) Ltd,Porter Airlines Inc,False,False,True,False,0.702673
2025-08-01,"18390-2508010745--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,3718,New York Newark,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-08-01T13:52:00,2025-08-01T16:35:00,223,1,Spirit Airlines,Spirit Airlines,False,False,True,False,0.702673
2025-08-01,"18390-2508010645--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,2121,Toronto Island,N/A,Canada,New York Newark,N/A,United States,2025-08-01T06:45:00,2025-08-01T08:15:00,90,1,Porter Airlines (Canada) Ltd,Porter Airlines Inc,False,False,True,False,0.564709
2025-08-01,"18390-2508010645--31954,-31825-1-10968-2508011635",economy,fastest,818.78,C$819,N/A,3718,New York Newark,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-08-01T13:52:00,2025-08-01T16:35:00,223,1,Spirit Airlines,Spirit Airlines,False,False,True,False,0.564709
2025-08-01,"18390-2508010845--31954,-31825-2-10968-2508012032",economy,fastest,865.22,C$866,N/A,2123,Toronto Island,N/A,Canada,New York Newark,N/A,United States,2025-08-01T08:45:00,2025-08-01T10:15:00,90,2,Porter Airlines (Canada) Ltd,Porter Airlines Inc,False,False,True,False,0.460763
2025-08-01,"18390-2508010845--31954,-31825-2-10968-2508012032",economy,fastest,865.22,C$866,N/A,298,New York Newark,N/A,United States,Detroit Wayne County,N/A,United States,2025-08-01T12:54:00,2025-08-01T14:44:00,110,2,Spirit Airlines,Spirit Airlines,False,False,True,False,0.460763
