date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2026-01-01,18467-2601011825--32573-0-10968-2601012105,economy,fastest,426.46,C$427,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2026-01-01T18:25:00,2026-01-01T21:05:00,220,0,American Airlines,American Airlines,False,False,False,False,0.999
2026-01-01,18467-2601010809--32573-0-10968-2601011054,economy,fastest,426.46,C$427,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2026-01-01T08:09:00,2026-01-01T10:54:00,225,0,American Airlines,American Airlines,False,False,False,False,0.830859
2026-01-01,18467-2601011405--32573-0-10968-2601011705,economy,fastest,673.74,C$674,N/A,3993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2026-01-01T14:05:00,2026-01-01T17:05:00,240,0,American Airlines,Envoy Air As American Eagle,False,False,False,False,0.516352
2026-01-01,18467-2601011400--32385-1-10968-2601011803,economy,fastest,439.99,C$440,N/A,5256,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2026-01-01T14:00:00,2026-01-01T15:20:00,80,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.410133
2026-01-01,18467-2601011400--32385-1-10968-2601011803,economy,fastest,439.99,C$440,N/A,1543,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2026-01-01T16:00:00,2026-01-01T18:03:00,183,1,Delta,Delta,False,False,False,False,0.410133
2026-01-01,18467-2601010540--32573-1-10968-2601011137,economy,fastest,448.16,C$449,N/A,5046,Toronto Pearson International,N/A,Canada,Charlotte Douglas,N/A,United States,2026-01-01T05:40:00,2026-01-01T08:10:00,150,1,American Airlines,PSA Airlines AS American Eagle,False,False,False,False,0.407324
2026-01-01,18467-2601010540--32573-1-10968-2601011137,economy,fastest,448.16,C$449,N/A,1091,Charlotte Douglas,N/A,United States,Dallas Fort Worth International,N/A,United States,2026-01-01T09:20:00,2026-01-01T11:37:00,197,1,American Airlines,American Airlines,False,False,False,False,0.407324
2026-01-01,18467-2601010700--32573-1-10968-2601011315,economy,fastest,448.16,C$449,N/A,4542,Toronto Pearson International,N/A,Canada,New York LaGuardia,N/A,United States,2026-01-01T07:00:00,2026-01-01T08:55:00,115,1,American Airlines,Republic Airways AS American Eagle,False,False,False,False,0.408016
2026-01-01,18467-2601010700--32573-1-10968-2601011315,economy,fastest,448.16,C$449,N/A,1626,New York LaGuardia,N/A,United States,Dallas Fort Worth International,N/A,United States,2026-01-01T10:00:00,2026-01-01T13:15:00,255,1,American Airlines,American Airlines,False,False,False,False,0.408016
2026-01-01,18467-2601011055--32573-1-10968-2601011713,economy,fastest,448.16,C$449,N/A,4347,Toronto Pearson International,N/A,Canada,New York LaGuardia,N/A,United States,2026-01-01T10:55:00,2026-01-01T12:35:00,100,1,American Airlines,Republic Airways AS American Eagle,False,False,False,False,0.400346
2026-01-01,18467-2601011055--32573-1-10968-2601011713,economy,fastest,448.16,C$449,N/A,2925,New York LaGuardia,N/A,United States,Dallas Fort Worth International,N/A,United States,2026-01-01T13:59:00,2026-01-01T17:13:00,254,1,American Airlines,American Airlines,False,False,False,False,0.400346
2026-01-01,18467-2601011015--32573-1-10968-2601011644,economy,fastest,448.16,C$449,N/A,5887,Toronto Pearson International,N/A,Canada,Philadelphia International,N/A,United States,2026-01-01T10:15:00,2026-01-01T12:05:00,110,1,American Airlines,Piedmont Airlines,False,False,False,False,0.400843
2026-01-01,18467-2601011015--32573-1-10968-2601011644,economy,fastest,448.16,C$449,N/A,1697,Philadelphia International,N/A,United States,Dallas Fort Worth International,N/A,United States,2026-01-01T13:55:00,2026-01-01T16:44:00,229,1,American Airlines,American Airlines,False,False,False,False,0.400843
2026-01-01,18467-2601011059--32573-1-10968-2601011809,economy,fastest,448.16,C$449,N/A,5668,Toronto Pearson International,N/A,Canada,Washington Ronald Reagan,N/A,United States,2026-01-01T10:59:00,2026-01-01T12:44:00,105,1,American Airlines,PSA Airlines AS American Eagle,False,False,False,False,0.402696
