date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-06-01,18467-2506011329--32573-0-10968-2506011609,economy,fastest,471.15,C$472,N/A,1993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-06-01T13:29:00,2025-06-01T16:09:00,220,0,American Airlines,American Airlines,False,False,False,False,0.999
2025-06-01,18467-2506011720--32573-0-10968-2506012000,economy,fastest,471.15,C$472,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-06-01T17:20:00,2025-06-01T20:00:00,220,0,American Airlines,American Airlines,False,False,False,False,0.762812
2025-06-01,18467-2506010645--32573-0-10968-2506010925,economy,fastest,471.15,C$472,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-06-01T06:45:00,2025-06-01T09:25:00,220,0,American Airlines,American Airlines,False,False,False,False,0.558364
2025-06-01,18467-2506010725--32573-1-10968-2506011308,economy,fastest,492.86,C$493,N/A,4542,Toronto Pearson International,N/A,Canada,New York LaGuardia,N/A,United States,2025-06-01T07:25:00,2025-06-01T09:00:00,95,1,American Airlines,Republic Airways AS American Eagle,False,False,False,False,0.362219
2025-06-01,18467-2506010725--32573-1-10968-2506011308,economy,fastest,492.86,C$493,N/A,3068,New York LaGuardia,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-06-01T10:09:00,2025-06-01T13:08:00,239,1,American Airlines,American Airlines,False,False,False,False,0.362219
2025-06-01,18467-2506011559--31679-1-10968-2506012157,economy,fastest,485.58,C$486,N/A,6338,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-06-01T15:59:00,2025-06-01T17:20:00,81,1,WestJet,Endeavor Air DBA Delta Connection,False,False,False,False,0.355474
2025-06-01,18467-2506011559--31679-1-10968-2506012157,economy,fastest,485.58,C$486,N/A,8330,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-06-01T20:00:00,2025-06-01T21:57:00,177,1,WestJet,Delta,False,False,False,False,0.355474
2025-06-01,18467-2506011130--31679-1-10910-2506011752,economy,fastest,566.21,C$567,N/A,8720,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-06-01T11:30:00,2025-06-01T13:55:00,145,1,WestJet,Delta,False,False,False,False,0.35369
2025-06-01,18467-2506011130--31679-1-10910-2506011752,economy,fastest,566.21,C$567,N/A,7669,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-06-01T16:34:00,2025-06-01T17:52:00,138,1,WestJet,Delta,False,False,False,False,0.35369
2025-06-01,18467-2506011055--32573-1-10968-2506011728,economy,fastest,550.21,C$551,N/A,4552,Toronto Pearson International,N/A,Canada,New York John F. Kennedy,N/A,United States,2025-06-01T10:55:00,2025-06-01T12:39:00,104,1,American Airlines,Republic Airways AS American Eagle,False,False,False,False,0.359809
2025-06-01,18467-2506011055--32573-1-10968-2506011728,economy,fastest,550.21,C$551,N/A,654,New York John F. Kennedy,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-06-01T14:30:00,2025-06-01T17:28:00,238,1,American Airlines,American Airlines,False,False,False,False,0.359809
2025-06-01,18467-2506011545--32573-1-10968-2506012234,economy,fastest,492.86,C$493,N/A,5076,Toronto Pearson International,N/A,Canada,Charlotte Douglas,N/A,United States,2025-06-01T15:45:00,2025-06-01T17:45:00,120,1,American Airlines,PSA Airlines AS American Eagle,False,False,False,False,0.363615
2025-06-01,18467-2506011545--32573-1-10968-2506012234,economy,fastest,492.86,C$493,N/A,2947,Charlotte Douglas,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-06-01T20:37:00,2025-06-01T22:34:00,177,1,American Airlines,American Airlines,False,False,False,False,0.363615
2025-06-01,18467-2506011320--31679-1-10910-2506012036,economy,fastest,505.57,C$506,N/A,7106,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-06-01T13:20:00,2025-06-01T15:42:00,142,1,WestJet,Delta,False,False,False,False,0.358533
