date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-10-01,18467-2510010829--32573-0-10968-2510011054,economy,fastest,430.31,C$431,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-10-01T08:29:00,2025-10-01T10:54:00,205,0,American Airlines,American Airlines,False,False,False,False,0.999
2025-10-01,18467-2510011840--32573-0-10968-2510012105,economy,fastest,430.31,C$431,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-10-01T18:40:00,2025-10-01T21:05:00,205,0,American Airlines,American Airlines,False,False,False,False,0.834535
2025-10-01,18467-2510011440--32573-0-10968-2510011705,economy,fastest,609.31,C$610,N/A,1993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-10-01T14:40:00,2025-10-01T17:05:00,205,0,American Airlines,American Airlines,False,False,False,False,0.565734
2025-10-01,18467-2510011130--32573-1-10968-2510011555,economy,fastest,452.05,C$453,N/A,3604,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-10-01T11:30:00,2025-10-01T12:25:00,115,1,American Airlines,Envoy Air As American Eagle,False,False,False,False,0.429708
2025-10-01,18467-2510011130--32573-1-10968-2510011555,economy,fastest,452.05,C$453,N/A,1290,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T13:20:00,2025-10-01T15:55:00,155,1,American Airlines,American Airlines,False,False,False,False,0.429708
2025-10-01,18467-2510011231--32385-1-10968-2510011705,economy,fastest,439.49,C$440,N/A,4941,Toronto Pearson International,N/A,Canada,Minneapolis St Paul,N/A,United States,2025-10-01T12:31:00,2025-10-01T13:46:00,135,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.434044
2025-10-01,18467-2510011231--32385-1-10968-2510011705,economy,fastest,439.49,C$440,N/A,2971,Minneapolis St Paul,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T14:37:00,2025-10-01T17:05:00,148,1,Delta,Delta,False,False,False,False,0.434044
2025-10-01,18467-2510010945--32385-1-10968-2510011431,economy,fastest,439.49,C$440,N/A,5073,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-10-01T09:45:00,2025-10-01T11:03:00,78,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.437693
2025-10-01,18467-2510010945--32385-1-10968-2510011431,economy,fastest,439.49,C$440,N/A,1041,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T12:45:00,2025-10-01T14:31:00,166,1,Delta,Delta,False,False,False,False,0.437693
2025-10-01,18467-2510011320--32385-1-10968-2510011833,economy,fastest,439.49,C$440,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-10-01T13:20:00,2025-10-01T15:37:00,137,1,Delta,Delta,False,False,False,False,0.41854
2025-10-01,18467-2510011320--32385-1-10968-2510011833,economy,fastest,439.49,C$440,N/A,436,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T17:15:00,2025-10-01T18:33:00,138,1,Delta,Delta,False,False,False,False,0.41854
2025-10-01,18467-2510011130--32385-1-10968-2510011647,economy,fastest,439.49,C$440,N/A,2835,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-10-01T11:30:00,2025-10-01T13:44:00,134,1,Delta,Delta,False,False,False,False,0.436731
2025-10-01,18467-2510011130--32385-1-10968-2510011647,economy,fastest,439.49,C$440,N/A,374,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T15:30:00,2025-10-01T16:47:00,137,1,Delta,Delta,False,False,False,False,0.436731
2025-10-01,18467-2510011215--32385-1-10968-2510011737,economy,fastest,439.49,C$440,N/A,5256,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-10-01T12:15:00,2025-10-01T13:31:00,76,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.427841
2025-10-01,18467-2510011215--32385-1-10968-2510011737,economy,fastest,439.49,C$440,N/A,1543,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T15:50:00,2025-10-01T17:37:00,167,1,Delta,Delta,False,False,False,False,0.427841
2025-10-01,18467-2510011020--32385-1-10968-2510011608,economy,fastest,439.49,C$440,N/A,5447,Toronto Pearson International,N/A,Canada,New York LaGuardia,N/A,United States,2025-10-01T10:20:00,2025-10-01T12:01:00,101,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.432808
2025-10-01,18467-2510011020--32385-1-10968-2510011608,economy,fastest,439.49,C$440,N/A,869,New York LaGuardia,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T13:15:00,2025-10-01T16:08:00,233,1,Delta,Delta,False,False,False,False,0.432808
2025-10-01,18467-2510010600--32385-1-10968-2510011015,premium_economy,fastest,607.49,C$608,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-10-01T06:00:00,2025-10-01T08:20:00,140,1,Delta,Delta,False,False,False,False,0.629142
2025-10-01,18467-2510010600--32385-1-10968-2510011015,premium_economy,fastest,607.49,C$608,N/A,961,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T09:00:00,2025-10-01T10:15:00,135,1,Delta,Delta,False,False,False,False,0.629142
2025-10-01,18467-2510011320--32385-1-10910-2510011749,premium_economy,fastest,607.49,C$608,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-10-01T13:20:00,2025-10-01T15:37:00,137,1,Delta,Delta,False,False,False,False,0.865251
2025-10-01,18467-2510011320--32385-1-10910-2510011749,premium_economy,fastest,607.49,C$608,N/A,2780,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-10-01T16:34:00,2025-10-01T17:49:00,135,1,Delta,Delta,False,False,False,False,0.865251
2025-10-01,18467-2510010745--32385-1-10968-2510011215,premium_economy,fastest,607.49,C$608,N/A,2988,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-10-01T07:45:00,2025-10-01T10:00:00,135,1,Delta,Delta,False,False,False,False,0.623625
2025-10-01,18467-2510010745--32385-1-10968-2510011215,premium_economy,fastest,607.49,C$608,N/A,414,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-10-01T11:00:00,2025-10-01T12:15:00,135,1,Delta,Delta,False,False,False,False,0.623625
2025-10-01,18467-2510011231--32385-1-10968-2510011705,premium_economy,fastest,607.49,C$608,N/A,4941,Toronto Pearson International,N/A,Canada,Minneapolis St Paul,N/A,United States,2025-10-01T12:31:00,2025-10-01T13:46:00,135,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.999
