itinerary_id,itineraries
it1,18467-2504010745--31679-1-10968-2504011249
it2,"18390-2504010700--31954,-31825-2-10968-2504011735"
it3,18467-2504010615--32385-1-10910-2504011111
it4,18467-2504010745--32385-1-10968-2504011249
it5,18467-2504011220--32385-1-10910-2504011753
it6,18467-2504011324--32573-0-10968-2504011614
it7,18467-2504011715--32573-0-10968-2504012010
it8,18467-2504010645--32573-0-10968-2504010940
it9,18467-2504011940--31722-0-10968-2504012214
it10,18467-2504011400--31722-0-10968-2504011634
it11,18467-2504011314--32573-1-10968-2504011741
it12,18467-2504010615--32573-1-10968-2504011047
it13,18467-2504011644--32573-1-10968-2504012133
it14,"18390-2504020700--31954,-31825-2-10968-2504021735"
it15,"18390-2504021155--31954,-31825-2-10968-2504022254"
it16,"18390-2504020900--31954,-31825-2-10968-2504022254"
it17,18467-2504020615--32385-1-10910-2504021111
it18,18467-2504020745--32385-1-10968-2504021249
it19,18467-2504020745--32385-1-10968-2504021440
it20,18467-2504020615--32385-2-10968-2504021440
it21,18467-2504021324--32573-0-10968-2504021614
it22,18467-2504021715--32573-0-10968-2504022010
it23,18467-2504020645--32573-0-10968-2504020940
it24,18467-2504021940--31722-0-10968-2504022214
it25,18467-2504021400--31722-0-10968-2504021634
it26,18467-2504020900--31722-1-10968-2504021332
it27,18467-2504020615--32573-1-10968-2504021300
it28,"18390-2504030700--31954,-31825-2-10968-2504031735"
it29,18467-2504030745--32385-1-10968-2504031243
it30,18467-2504030615--32385-1-10910-2504031126
it31,18467-2504031815--32385-1-10968-2504032357
it32,18467-2504031324--32573-0-10968-2504031614
it33,18467-2504030645--32573-0-10968-2504030940
it34,18467-2504031715--32573-0-10968-2504032010
it35,18467-2504031400--31722-0-10968-2504031634
it36,18467-2504031940--31722-0-10968-2504032214
it37,18467-2504030615--32573-1-10968-2504031047
it38,18467-2504040745--31679-1-10968-2504041243
it39,18467-2504040615--31679-1-10910-2504041126
it40,18467-2504041815--31679-1-10968-2504042357
it41,18467-2504040745--31679-1-10910-2504041513
it42,18467-2504040615--31679-1-10910-2504041513
it43,18467-2504040615--32385-1-10910-2504041126
it44,18467-2504041815--32385-1-10968-2504042357
it45,18467-2504041720--32573-0-10968-2504042000
it46,18467-2504040645--32573-0-10968-2504040929
it47,18467-2504041329--32573-0-10968-2504041614
it48,18467-2504041514--32573-1-10968-2504041916
it49,18467-2504040630--32573-1-10968-2504041056
it50,18467-2504041315--32573-1-10968-2504041756
it51,18467-2504051220--31679-1-10968-2504051646
it52,18467-2504050745--31679-1-10968-2504051243
it53,18467-2504051815--31679-1-10968-2504052357
it54,18467-2504050615--31679-1-10968-2504051243
it55,18467-2504051220--32385-1-10968-2504051646
it56,18467-2504050615--32385-1-10910-2504051105
it57,18467-2504050745--32385-1-10968-2504051243
it58,18467-2504051220--32385-1-10910-2504051751
it59,18467-2504051815--32385-1-10968-2504052357
it60,18467-2504051720--32573-0-10968-2504052000
it61,18467-2504050645--32573-0-10968-2504050929
it62,18467-2504051329--32573-0-10968-2504051614
it63,18467-2504051400--31722-0-10968-2504051634
it64,18467-2504051940--31722-0-10968-2504052214
it65,18467-2504050630--32573-1-10968-2504051056
it66,18467-2504050800--31722-1-10968-2504051322
it67,18467-2504050700--31722-1-10968-2504051322
it68,"18390-2504060700--31954,-31825-2-10968-2504061735"
it69,"18390-2504061155--31954,-31825-2-10968-2504062254"
it70,"18390-2504060700--31954,-31825-3-10968-2504062358"
it71,18467-2504060615--32385-1-10910-2504061126
it72,18467-2504061720--32573-0-10968-2504062000
it73,18467-2504060645--32573-0-10968-2504060929
it74,18467-2504061329--32573-0-10968-2504061614
it75,18467-2504061400--31722-0-10968-2504061634
it76,18467-2504061940--31722-0-10968-2504062214
it77,18467-2504060630--32573-1-10968-2504061056
it78,18467-2504060900--31722-1-10968-2504061327
it79,18467-2504061100--31722-1-10968-2504061602
it80,18467-2504060900--31722-1-10968-2504061602
it81,"18390-2504070700--31954,-31825-2-10968-2504071735"
it82,"18390-2504071155--31954,-31825-2-10968-2504072254"
it83,18467-2504070615--32385-1-10910-2504071126
it84,18467-2504071815--32385-1-10968-2504072357
it85,18467-2504070745--32385-1-10910-2504071513
it86,18467-2504071720--32573-0-10968-2504072000
it87,18467-2504070645--32573-0-10968-2504070929
it88,18467-2504071329--32573-0-10968-2504071614
it89,18467-2504071514--32573-1-10968-2504071916
it90,18467-2504070630--32573-1-10968-2504071056
it91,18467-2504071315--32573-1-10968-2504071756
it92,18467-2504081400--32695-0-10968-2504081634
it93,18467-2504081940--32695-0-10968-2504082214
it94,18467-2504081400--31722-0-10968-2504081634
it95,18467-2504080645--32573-0-10968-2504080929
it96,18467-2504081329--32573-0-10968-2504081614
it97,18467-2504081329--32593-0-10968-2504081614
it98,"18188-2504081235--31147,-31825-2-10968-2504082254"
it99,18467-2504080615--32385-1-10910-2504081105
it100,18467-2504080745--32385-1-10968-2504081243
it101,18467-2504081220--32385-1-10910-2504081751
it102,18467-2504081720--32573-0-10968-2504082000
it103,18467-2504081100--32695-1-10968-2504081602
it104,18467-2504081730--32695-1-10968-2504082250
it105,18467-2504081700--32695-1-10968-2504082245
it106,18467-2504080900--32695-1-10968-2504081602
it107,18467-2504081618--32695-1-10968-2504082344
it108,18467-2504081514--32573-1-10968-2504081916
it109,18467-2504081820--32573-1-10968-2504082326
it110,18467-2504090615--31679-1-10910-2504091105
it111,18467-2504090745--31679-1-10968-2504091243
it112,18467-2504091220--31679-1-10910-2504091751
it113,18467-2504091815--31679-1-10968-2504092357
it114,18467-2504090615--32385-1-10910-2504091105
it115,18467-2504090745--32385-1-10968-2504091243
it116,18467-2504091220--32385-1-10910-2504091751
it117,18467-2504091815--32385-1-10968-2504092357
it118,18467-2504091720--32573-0-10968-2504092000
it119,18467-2504090645--32573-0-10968-2504090929
it120,18467-2504091329--32573-0-10968-2504091614
it121,18467-2504091940--31722-0-10968-2504092214
it122,18467-2504091400--31722-0-10968-2504091634
it123,18467-2504091820--32573-1-10968-2504092326
it124,18467-2504091514--32573-1-10968-2504092131
it125,18467-2504090630--32573-1-10968-2504091256
it126,"18390-2504100700--31954,-31825-2-10968-2504101642"
it127,"18390-2504100745--31954,-31825-2-10968-2504102316"
it128,"18390-2504100645--31954,-31825-2-10968-2504102316"
it129,18467-2504100745--32385-1-10968-2504101243
it130,18467-2504100615--32385-1-10910-2504101126
it131,18467-2504101720--32573-0-10968-2504102000
it132,18467-2504100645--32573-0-10968-2504100929
it133,18467-2504101329--32573-0-10968-2504101614
it134,18467-2504101940--31722-0-10968-2504102214
it135,18467-2504101400--31722-0-10968-2504101634
it136,18467-2504100630--32573-1-10968-2504101056
it137,18467-2504100900--31722-1-10968-2504101332
it138,18467-2504101100--31722-1-10968-2504101602
it139,18467-2504110615--31679-1-10910-2504111126
it140,18467-2504111220--31679-1-10910-2504111751
it141,18467-2504110745--31679-1-10910-2504111513
it142,18467-2504110745--31679-1-10910-2504111751
it143,18467-2504110615--31679-1-10910-2504111751
it144,18467-2504110745--31679-1-10910-2504112143
it145,18467-2504112315--31679-2-10910-2504121412
it146,18467-2504111815--31679-1-10910-2504121105
it147,18467-2504110615--32385-1-10910-2504111126
it148,18467-2504110745--32385-1-10910-2504111513
it149,18467-2504111720--32573-0-10968-2504112000
it150,18467-2504110645--32573-0-10968-2504110929
it151,18467-2504111329--32573-0-10968-2504111614
it152,18467-2504111940--31722-0-10968-2504112214
it153,18467-2504111400--31722-0-10968-2504111634
it154,18467-2504110630--32573-1-10968-2504111056
it155,18467-2504111820--32573-1-10968-2504112326
it156,18467-2504111514--32573-1-10968-2504112326
it157,18467-2504121400--32695-0-10968-2504121634
it158,18467-2504121940--32695-0-10968-2504122214
it159,18467-2504121329--32593-0-10968-2504121614
it160,18467-2504121220--31679-1-10968-2504121646
it161,18467-2504120615--31679-1-10910-2504121105
it162,18467-2504120745--31679-1-10968-2504121243
it163,18467-2504120700--32695-1-10968-2504121217
it164,18467-2504120800--32695-1-10968-2504121322
it165,18467-2504121220--32385-1-10968-2504121646
it166,18467-2504120615--32385-1-10910-2504121105
it167,18467-2504121220--32385-1-10910-2504121751
it168,18467-2504121720--32573-0-10968-2504122000
it169,18467-2504120645--32573-0-10968-2504120929
it170,18467-2504121329--32573-0-10968-2504121614
it171,18467-2504121700--32695-1-10968-2504122245
it172,18467-2504121730--32695-1-10968-2504122321
it173,18467-2504121618--32695-1-10968-2504122344
it174,18467-2504121940--31722-0-10968-2504122214
it175,18467-2504121400--31722-0-10968-2504121634
it176,18467-2504121514--32573-1-10968-2504121916
it177,18467-2504120630--32573-1-10968-2504121056
it178,18467-2504120800--31722-1-10968-2504121322
it179,"18390-2504130700--31954,-31825-2-10968-2504131642"
it180,"18390-2504130700--31954,-31825-3-10968-2504140122"
it181,18467-2504130615--32385-1-10910-2504131126
it182,18467-2504131220--32385-1-10910-2504131751
it183,18467-2504131720--32573-0-10968-2504132000
it184,18467-2504130645--32573-0-10968-2504130929
it185,18467-2504131329--32573-0-10968-2504131614
it186,18467-2504131940--31722-0-10968-2504132214
it187,18467-2504131400--31722-0-10968-2504131634
it188,18467-2504130630--32573-1-10968-2504131056
it189,18467-2504131100--31722-1-10968-2504131602
it190,"18390-2504140700--31954,-31825-2-10968-2504141642"
it191,"18390-2504141305--31954,-31825-3-10968-2504150952"
it192,"18390-2504141015--31954,-31825-3-10968-2504150952"
it193,18467-2504141324--32385-1-10910-2504141751
it194,18467-2504140615--32385-1-10910-2504141126
it195,18467-2504141720--32573-0-10968-2504142000
