Name,IATA Code,ICAO Code,Country,City,City Code,Latitude,Longitude,Timezone,Departures
Abbotsford International Airport,YXX,CYXX,CA,Abbotsford,YVR,49.02529,-122.37735,America/Vancouver,941
Aklavik/Freddie Carmichael Airport,LAK,CYKD,CA,Aklavik,LAK,68.22333,-135.00583,America/Yellowknife,348
Akulivik Airport,AKV,CYKO,CA,Akulivik,AKV,60.81861,-78.14861,America/Toronto,270
Alberni Valley Regional Airport,YPB,,CA,Port Alberni,YPB,49.31933,-124.92979,America/Vancouver,
Alert Bay Airport,YAL,CYAL,CA,Alert Bay,,50.5822,-126.916,America/Vancouver,
Alert Airport,YLT,CYLT,CA,Alert,,82.51778,-62.28056,America/Iqaluit,
Alice Arm/Silver City Seaplane Base,ZAA,,CA,,,55.47185,-129.49516,America/Vancouver,
Allan J. MacEachen Port Hawkesbury Airport,YPS,CYPD,CA,Port Hawkesbury,,45.65667,-61.36806,America/Halifax,
Alma Airport,YTF,CYTF,CA,Alma,YTF,48.5089,-71.6419,America/Toronto,
Amos/Magny Airport,YEY,CYEY,CA,Amos,YEY,48.56386,-78.24738,America/Toronto,
Anahim Lake Airport,YAA,CAJ4,CA,Anahim Lake,YAA,52.45384,-125.30615,America/Vancouver,
Angling Lake/Wapekeka Airport,YAX,CKB6,CA,Angling Lake,YAX,53.84848,-89.57849,America/Winnipeg,
April Point Waterdrome,YQJ,,CA,Campbell River,YBL,50.06182,-125.23539,America/Vancouver,
Arctic Bay Airport,YAB,CYAB,CA,Arctic Bay,YAB,73.00598,-85.03294,America/Rankin_Inlet,
Armstrong Airport,YYW,CYYW,CA,Armstrong,YYW,50.29537,-88.91373,America/Toronto,
Arviat Airport,YEK,CYEK,CA,Arviat,YEK,61.09411,-94.07164,America/Rankin_Inlet,
Assiniboia Airport,,CWJI,CA,,,49.73097,-105.94558,America/Regina,
Athabasca Airport,,CYWM,CA,Athabasca,,54.7383,-113.20553,America/Edmonton,
Atikokan Municipal Airport,YIB,CYIB,CA,Atikokan,,48.7739,-91.6386,America/Atikokan,
Atlin Airport,,CYSQ,CA,Atlin,,59.57994,-133.66834,America/Creston,
Attawapiskat Airport,YAT,CYAT,CA,Attawapiskat,YAT,52.9275,-82.4319,America/Toronto,28
Aupaluk Airport,YPJ,CYLA,CA,Aupaluk,YPJ,59.29667,-69.59972,America/Toronto,232
Bagotville Airport,YBG,CYBG,CA,La Baie,YBG,48.33055,-70.99639,America/Toronto,149
Baie-Comeau Airport,YBC,CYBC,CA,Baie-Comeau,YBC,49.1325,-68.20444,America/Toronto,
Baie-Johan-Beetz Seaplane Base,YBJ,,CA,,,50.28361,-62.81038,America/Toronto,
Baker Lake Airport,YBK,CYBK,CA,Baker Lake,YBK,64.29889,-96.07778,America/Rankin_Inlet,
Bakers Narrows Seaplane Base,,CFF8,CA,,,54.67845,-101.65941,America/Winnipeg,
Bamfield Seaplane Base,YBF,,CA,Bamfield,YBF,48.83467,-125.1378,America/Vancouver,
Banff Airport,YBA,CYBA,CA,Banff,,51.20753,-115.54124,America/Edmonton,
Bar River Airport,YEB,,CA,Echo Bay,YAM,46.41928,-84.09845,America/Toronto,
Bathurst Airport,ZBF,CZBF,CA,South Tetagouche,ZBF,47.62972,-65.73889,America/Moncton,97
Bearskin Lake Airport,XBE,CNE3,CA,Bearskin Lake,XBE,53.9656,-91.0272,America/Winnipeg,
Beaver Creek Airport,YXQ,CYXQ,CA,Beaver Creek,,62.41089,-140.8691,America/Whitehorse,
Bedwell Harbour Water Aerodrome,YBW,,CA,Duncan,DUQ,48.74764,-123.23128,America/Vancouver,
Bella Bella (Campbell Island) Airport,ZEL,CBBC,CA,Bella Bella,ZEL,52.18193,-128.15526,America/Vancouver,
Bella Bella/Shearwater Water Aerodrome,YSX,,CA,,,52.1485,-128.0869,America/Vancouver,
Bella Coola Airport,QBC,CYBD,CA,Bella Coola,QBC,52.3875,-126.59583,America/Vancouver,118
Berens River Airport,YBV,CYBV,CA,Berens River,YBV,52.35851,-97.02129,America/Winnipeg,
Big Bay Seaplane Base,YIG,,CA,Stuart Island,YIG,50.39265,-125.1408,America/Vancouver,
Big Trout Lake Airport,YTL,CYTL,CA,Big Trout Lake,YTL,53.81857,-89.89829,America/Winnipeg,
Billy Bishop Toronto City Airport,YTZ,CYTZ,CA,Toronto,YTO,43.62974,-79.39828,America/Toronto,752
Black Tickle Airport,YBI,CCE4,CA,Black Tickle,YBI,53.46908,-55.78537,America/St_Johns,
Bloodvein River Airport,YDV,CZTA,CA,Bloodvein River,,51.78483,-96.69205,America/Winnipeg,
Blubber Bay Seaplane Base,XBB,,CA,Blubber Bay,YCA,49.7942,-124.61912,America/Vancouver,
Blue River Airport,,CYCP,CA,Blue River,,52.11667,-119.28333,America/Vancouver,
