date,itinerary_id,cabin_class,sort_by,price_raw,price_formatted,currency,flight_number,origin_airport,origin_city,origin_country,destination_airport,destination_city,destination_country,departure_time,arrival_time,duration_minutes,stop_count,marketing_airline,operating_airline,change_allowed,cancellation_allowed,is_self_transfer,has_flexible_options,score
2025-12-01,18467-2512011820--32573-0-10968-2512012105,economy,fastest,471.15,C$472,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T18:20:00,2025-12-01T21:05:00,225,0,American Airlines,American Airlines,False,False,False,False,0.791027
2025-12-01,18467-2512011415--32573-0-10968-2512011705,economy,fastest,471.15,C$472,N/A,3993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T14:15:00,2025-12-01T17:05:00,230,0,American Airlines,Envoy Air As American Eagle,False,False,False,False,0.999
2025-12-01,18467-2512010754--32573-0-10968-2512011054,economy,fastest,471.15,C$472,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T07:54:00,2025-12-01T10:54:00,240,0,American Airlines,American Airlines,False,False,False,False,0.667721
2025-12-01,18467-2512011330--31679-1-10910-2512011749,economy,fastest,778.46,C$779,N/A,7106,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T13:30:00,2025-12-01T15:45:00,135,1,WestJet,Delta,False,False,False,False,0.362551
2025-12-01,18467-2512011330--31679-1-10910-2512011749,economy,fastest,778.46,C$779,N/A,7669,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-12-01T16:34:00,2025-12-01T17:49:00,135,1,WestJet,Delta,False,False,False,False,0.362551
2025-12-01,18467-2512011330--32385-1-10910-2512011749,economy,fastest,770.74,C$771,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T13:30:00,2025-12-01T15:45:00,135,1,Delta,Delta,False,False,False,False,0.345421
2025-12-01,18467-2512011330--32385-1-10910-2512011749,economy,fastest,770.74,C$771,N/A,2780,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-12-01T16:34:00,2025-12-01T17:49:00,135,1,Delta,Delta,False,False,False,False,0.345421
2025-12-01,18467-2512010615--32573-1-10968-2512011046,economy,fastest,740.13,C$741,N/A,3524,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-12-01T06:15:00,2025-12-01T07:30:00,135,1,American Airlines,Envoy Air As American Eagle,False,False,False,False,0.34746
2025-12-01,18467-2512010615--32573-1-10968-2512011046,economy,fastest,740.13,C$741,N/A,2421,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T08:05:00,2025-12-01T10:46:00,161,1,American Airlines,American Airlines,False,False,False,False,0.34746
2025-12-01,18467-2512011559--31679-1-10968-2512012147,economy,fastest,505.57,C$506,N/A,6344,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T15:59:00,2025-12-01T17:24:00,85,1,WestJet,Endeavor Air DBA Delta Connection,False,False,False,False,0.353925
2025-12-01,18467-2512011559--31679-1-10968-2512012147,economy,fastest,505.57,C$506,N/A,8330,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T20:00:00,2025-12-01T21:47:00,167,1,WestJet,Delta,False,False,False,False,0.353925
2025-12-01,18467-2512011800--31679-1-10968-2512020001,economy,fastest,505.57,C$506,N/A,6768,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T18:00:00,2025-12-01T20:21:00,141,1,WestJet,Delta,False,False,False,False,0.344271
2025-12-01,18467-2512011800--31679-1-10968-2512020001,economy,fastest,505.57,C$506,N/A,6499,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T22:45:00,2025-12-02T00:01:00,136,1,WestJet,Delta,False,False,False,False,0.344271
2025-12-01,18467-2512011215--31679-1-10968-2512012147,economy,fastest,505.57,C$506,N/A,6343,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T12:15:00,2025-12-01T13:31:00,76,1,WestJet,Endeavor Air DBA Delta Connection,False,False,False,False,0.353523
2025-12-01,18467-2512011215--31679-1-10968-2512012147,economy,fastest,505.57,C$506,N/A,8330,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T20:00:00,2025-12-01T21:47:00,167,1,WestJet,Delta,False,False,False,False,0.353523
2025-12-01,18467-2512011330--31679-1-10968-2512020001,economy,fastest,488.02,C$489,N/A,7106,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T13:30:00,2025-12-01T15:45:00,135,1,WestJet,Delta,False,False,False,False,0.360153
2025-12-01,18467-2512011330--31679-1-10968-2512020001,economy,fastest,488.02,C$489,N/A,6499,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T22:45:00,2025-12-02T00:01:00,136,1,WestJet,Delta,False,False,False,False,0.360153
2025-12-01,18467-2512011330--32385-1-10910-2512011749,premium_economy,fastest,901.99,C$902,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T13:30:00,2025-12-01T15:45:00,135,1,Delta,Delta,False,False,False,False,0.999
2025-12-01,18467-2512011330--32385-1-10910-2512011749,premium_economy,fastest,901.99,C$902,N/A,2780,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-12-01T16:34:00,2025-12-01T17:49:00,135,1,Delta,Delta,False,False,False,False,0.999
2025-12-01,18467-2512010600--32385-1-10968-2512011022,premium_economy,fastest,1195.99,"C$1,196",N/A,5031,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T06:00:00,2025-12-01T07:26:00,86,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.573722
2025-12-01,18467-2512010600--32385-1-10968-2512011022,premium_economy,fastest,1195.99,"C$1,196",N/A,2746,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T08:34:00,2025-12-01T10:22:00,168,1,Delta,Delta,False,False,False,False,0.573722
2025-12-01,18467-2512010745--32385-1-10968-2512011215,premium_economy,fastest,1195.99,"C$1,196",N/A,2988,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T07:45:00,2025-12-01T10:00:00,135,1,Delta,Delta,False,False,False,False,0.565711
2025-12-01,18467-2512010745--32385-1-10968-2512011215,premium_economy,fastest,1195.99,"C$1,196",N/A,414,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T11:00:00,2025-12-01T12:15:00,135,1,Delta,Delta,False,False,False,False,0.565711
2025-12-01,18467-2512010945--32385-1-10968-2512011431,premium_economy,fastest,1195.99,"C$1,196",N/A,5073,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T09:45:00,2025-12-01T11:03:00,78,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.560739
2025-12-01,18467-2512010945--32385-1-10968-2512011431,premium_economy,fastest,1195.99,"C$1,196",N/A,1041,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T12:45:00,2025-12-01T14:31:00,166,1,Delta,Delta,False,False,False,False,0.560739
2025-12-01,18467-2512010615--32385-1-10910-2512011115,premium_economy,fastest,975.49,C$976,N/A,2662,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T06:15:00,2025-12-01T08:35:00,140,1,Delta,Delta,False,False,False,False,0.534343
2025-12-01,18467-2512010615--32385-1-10910-2512011115,premium_economy,fastest,975.49,C$976,N/A,1115,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Love Field,N/A,United States,2025-12-01T10:00:00,2025-12-01T11:15:00,135,1,Delta,Delta,False,False,False,False,0.534343
2025-12-01,18467-2512011330--32385-1-10968-2512011833,premium_economy,fastest,901.99,C$902,N/A,2710,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T13:30:00,2025-12-01T15:45:00,135,1,Delta,Delta,False,False,False,False,0.59331
2025-12-01,18467-2512011330--32385-1-10968-2512011833,premium_economy,fastest,901.99,C$902,N/A,436,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T17:15:00,2025-12-01T18:33:00,138,1,Delta,Delta,False,False,False,False,0.59331
2025-12-01,18467-2512011130--32385-1-10968-2512011647,premium_economy,fastest,1195.99,"C$1,196",N/A,2835,Toronto Pearson International,N/A,Canada,Atlanta Hartsfield-Jackson,N/A,United States,2025-12-01T11:30:00,2025-12-01T13:44:00,134,1,Delta,Delta,False,False,False,False,0.508295
2025-12-01,18467-2512011130--32385-1-10968-2512011647,premium_economy,fastest,1195.99,"C$1,196",N/A,374,Atlanta Hartsfield-Jackson,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T15:30:00,2025-12-01T16:47:00,137,1,Delta,Delta,False,False,False,False,0.508295
2025-12-01,18467-2512010600--32385-1-10968-2512011122,premium_economy,fastest,807.49,C$808,N/A,5066,Toronto Pearson International,N/A,Canada,New York John F. Kennedy,N/A,United States,2025-12-01T06:00:00,2025-12-01T07:53:00,113,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.685414
2025-12-01,18467-2512010600--32385-1-10968-2512011122,premium_economy,fastest,807.49,C$808,N/A,356,New York John F. Kennedy,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T08:30:00,2025-12-01T11:22:00,232,1,Delta,Delta,False,False,False,False,0.685414
2025-12-01,18467-2512011215--32385-1-10968-2512011737,premium_economy,fastest,975.49,C$976,N/A,5256,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T12:15:00,2025-12-01T13:31:00,76,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.534058
2025-12-01,18467-2512011215--32385-1-10968-2512011737,premium_economy,fastest,975.49,C$976,N/A,1543,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T15:50:00,2025-12-01T17:37:00,167,1,Delta,Delta,False,False,False,False,0.534058
2025-12-01,18467-2512011559--32385-1-10968-2512012147,premium_economy,fastest,744.49,C$745,N/A,4980,Toronto Pearson International,N/A,Canada,Detroit Wayne County,N/A,United States,2025-12-01T15:59:00,2025-12-01T17:24:00,85,1,Delta,Endeavor Air DBA Delta Connection,False,False,False,False,0.84128
2025-12-01,18467-2512011559--32385-1-10968-2512012147,premium_economy,fastest,744.49,C$745,N/A,1207,Detroit Wayne County,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T20:00:00,2025-12-01T21:47:00,167,1,Delta,Delta,False,False,False,False,0.84128
2025-12-01,18467-2512011400--32695-0-10968-2512011642,business,fastest,845.38,C$846,N/A,1031,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T14:00:00,2025-12-01T16:42:00,222,0,Air Canada,Air Canada,False,False,False,False,0.451111
2025-12-01,18467-2512011940--32695-0-10968-2512012222,business,fastest,1087.33,"C$1,088",N/A,1033,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T19:40:00,2025-12-01T22:22:00,222,0,Air Canada,Air Canada,False,False,False,False,0.426604
2025-12-01,18467-2512011820--32573-0-10968-2512012105,business,fastest,600.38,C$601,N/A,1111,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T18:20:00,2025-12-01T21:05:00,225,0,American Airlines,American Airlines,False,False,False,False,0.776776
2025-12-01,18467-2512011415--32573-0-10968-2512011705,business,fastest,600.38,C$601,N/A,3993,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T14:15:00,2025-12-01T17:05:00,230,0,American Airlines,Envoy Air As American Eagle,False,False,False,False,0.999
2025-12-01,18467-2512010754--32573-0-10968-2512011054,business,fastest,600.38,C$601,N/A,1169,Toronto Pearson International,N/A,Canada,Dallas Fort Worth International,N/A,United States,2025-12-01T07:54:00,2025-12-01T10:54:00,240,0,American Airlines,American Airlines,False,False,False,False,0.643757
2025-12-01,18467-2512010900--32695-1-10968-2512011311,business,fastest,1587.18,"C$1,588",N/A,5143,Toronto Pearson International,N/A,Canada,Chicago O'Hare International,N/A,United States,2025-12-01T09:00:00,2025-12-01T09:55:00,115,1,Air Canada,United,False,False,False,False,0.311491
2025-12-01,18467-2512010900--32695-1-10968-2512011311,business,fastest,1587.18,"C$1,588",N/A,3658,Chicago O'Hare International,N/A,United States,Dallas Fort Worth International,N/A,United States,2025-12-01T10:45:00,2025-12-01T13:11:00,146,1,Air Canada,United,False,False,False,False,0.311491
