airline_name,country_code,iata,iosa_registered,iosa_expiry,is_airline_passenger,total_aircrafts,average_fleet_age,accidents_last_5y
Alaska Airlines,US,AS,True,2025-01-16 00:00:00+00:00,True,158,8.1,1
American Airlines,US,AA,True,2025-07-29 00:00:00+00:00,True,684,10.2,26
Air Canada,CA,AC,True,2024-04-18 00:00:00+00:00,True,98,11.7,0
Delta Air Lines,US,DL,True,2024-10-17 00:00:00+00:00,True,591,12.5,22
Envoy Air,US,MQ,True,2025-11-18 00:00:00+00:00,True,161,9.6,0
Frontier Airlines,US,F9,True,2024-01-03 00:00:00+00:00,True,83,3.0,4
GOL Linhas Aereas Inteligentes,BR,G3,True,2025-11-23 00:00:00+00:00,True,103,10.7,0
Jazz Aviation,CA,QK,True,2024-10-21 00:00:00+00:00,True,85,13.8,3
Lufthansa,DE,LH,True,2026-05-12 00:00:00+00:00,True,131,8.9,1
Porter Airlines Inc,CA,P3,True,,True,1,8.0,0
Porter Airlines,CA,PD,True,,True,1,9.0,0
Republic Airline United Express,US,YX,True,2024-12-12 00:00:00+00:00,True,182,10.1,1
SkyWest Airlines,US,OO,True,2024-09-25 00:00:00+00:00,True,462,10.7,3
Spirit Airlines,US,NK,True,2025-07-30 00:00:00+00:00,True,125,4.1,4
United Airlines,US,UA,True,2025-02-26 00:00:00+00:00,True,502,14.1,12
Westjet,CA,WS,True,2024-11-27 00:00:00+00:00,True,70,9.8,5
American Eagle,US,AA,True,2024-08-02 00:00:00+00:00,True,567,10.0,1
