itinerary_id,cabin_class,stop_count,duration_in_hours,one_way_price_candollar,marketing_airline,operating_airline
18467-2504010745--31679-1-10968-2504011249,economy,1,2.53,477,Westjet,Delta Air Lines
18467-2504010745--31679-1-10968-2504011249,economy,1,2.48,477,Westjet,Delta Air Lines
"18390-2504010700--31954,-31825-2-10968-2504011735",economy,2,0.98,253,Porter Airlines,Porter Airlines Inc
18467-2504010615--32385-1-10910-2504011111,premium_economy,1,2.57,581,Delta Air Lines,Delta Air Lines
18467-2504010745--32385-1-10968-2504011249,premium_economy,1,2.53,581,Delta Air Lines,Delta Air Lines
18467-2504010745--32385-1-10968-2504011249,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504011220--32385-1-10910-2504011753,premium_economy,1,2.33,581,Delta Air Lines,Delta Air Lines
18467-2504011324--32573-0-10968-2504011614,business,0,3.83,649,American Airlines,Envoy Air
18467-2504011715--32573-0-10968-2504012010,business,0,3.92,527,American Airlines,American Airlines
18467-2504010645--32573-0-10968-2504010940,business,0,3.92,649,American Airlines,American Airlines
18467-2504011940--31722-0-10968-2504012214,first,0,3.57,827,United Airlines,Air Canada
18467-2504011400--31722-0-10968-2504011634,first,0,3.57,1049,United Airlines,Air Canada
18467-2504011314--32573-1-10968-2504011741,first,1,1.92,670,American Airlines,American Eagle
18467-2504011314--32573-1-10968-2504011741,first,1,2.65,670,American Airlines,American Airlines
18467-2504010615--32573-1-10968-2504011047,first,1,2.25,549,American Airlines,Envoy Air
18467-2504010615--32573-1-10968-2504011047,first,1,2.7,549,American Airlines,American Airlines
18467-2504011644--32573-1-10968-2504012133,first,1,2.0,549,American Airlines,Envoy Air
18467-2504011644--32573-1-10968-2504012133,first,1,2.8,549,American Airlines,American Airlines
"18390-2504020700--31954,-31825-2-10968-2504021735",economy,2,0.98,253,Porter Airlines,Porter Airlines Inc
"18390-2504021155--31954,-31825-2-10968-2504022254",economy,2,2.65,263,Spirit Airlines,Spirit Airlines
"18390-2504020900--31954,-31825-2-10968-2504022254",economy,2,2.65,263,Spirit Airlines,Spirit Airlines
18467-2504020615--32385-1-10910-2504021111,premium_economy,1,2.57,581,Delta Air Lines,Delta Air Lines
18467-2504020745--32385-1-10968-2504021249,premium_economy,1,2.53,581,Delta Air Lines,Delta Air Lines
18467-2504020745--32385-1-10968-2504021249,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504020745--32385-1-10968-2504021440,premium_economy,1,2.53,560,Delta Air Lines,Delta Air Lines
18467-2504020745--32385-1-10968-2504021440,premium_economy,1,2.38,560,Delta Air Lines,Delta Air Lines
18467-2504020615--32385-2-10968-2504021440,premium_economy,2,2.38,560,Delta Air Lines,Delta Air Lines
18467-2504021324--32573-0-10968-2504021614,business,0,3.83,527,American Airlines,Envoy Air
18467-2504021715--32573-0-10968-2504022010,business,0,3.92,527,American Airlines,American Airlines
18467-2504020645--32573-0-10968-2504020940,business,0,3.92,649,American Airlines,American Airlines
18467-2504021940--31722-0-10968-2504022214,first,0,3.57,596,United Airlines,Air Canada
18467-2504021400--31722-0-10968-2504021634,first,0,3.57,827,United Airlines,Air Canada
18467-2504020900--31722-1-10968-2504021332,first,1,2.02,618,United Airlines,United Airlines
18467-2504020900--31722-1-10968-2504021332,first,1,2.78,618,United Airlines,United Airlines
18467-2504020615--32573-1-10968-2504021300,first,1,2.25,549,American Airlines,Envoy Air
18467-2504020615--32573-1-10968-2504021300,first,1,2.75,549,American Airlines,American Airlines
"18390-2504030700--31954,-31825-2-10968-2504031735",economy,2,0.98,284,Porter Airlines,Porter Airlines Inc
18467-2504030745--32385-1-10968-2504031243,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504030745--32385-1-10968-2504031243,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504030615--32385-1-10910-2504031126,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504031815--32385-1-10968-2504032357,premium_economy,1,2.4,581,Delta Air Lines,Delta Air Lines
18467-2504031815--32385-1-10968-2504032357,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504031324--32573-0-10968-2504031614,business,0,3.83,593,American Airlines,Envoy Air
18467-2504030645--32573-0-10968-2504030940,business,0,3.92,649,American Airlines,American Airlines
18467-2504031715--32573-0-10968-2504032010,business,0,3.92,788,American Airlines,American Airlines
18467-2504031400--31722-0-10968-2504031634,first,0,3.57,596,United Airlines,Air Canada
18467-2504031940--31722-0-10968-2504032214,first,0,3.57,596,United Airlines,Air Canada
18467-2504030615--32573-1-10968-2504031047,first,1,2.25,549,American Airlines,Envoy Air
18467-2504030615--32573-1-10968-2504031047,first,1,2.7,549,American Airlines,American Airlines
18467-2504040745--31679-1-10968-2504041243,economy,1,2.38,486,Westjet,Delta Air Lines
18467-2504040745--31679-1-10968-2504041243,economy,1,2.35,486,Westjet,Delta Air Lines
18467-2504040615--31679-1-10910-2504041126,economy,1,2.48,489,Westjet,Delta Air Lines
18467-2504041815--31679-1-10968-2504042357,economy,1,2.4,457,Westjet,Delta Air Lines
18467-2504041815--31679-1-10968-2504042357,economy,1,2.38,457,Westjet,Delta Air Lines
18467-2504040745--31679-1-10910-2504041513,economy,1,2.38,460,Westjet,Delta Air Lines
18467-2504040615--31679-1-10910-2504041513,economy,1,2.48,460,Westjet,Delta Air Lines
18467-2504040615--32385-1-10910-2504041126,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504041815--32385-1-10968-2504042357,premium_economy,1,2.4,581,Delta Air Lines,Delta Air Lines
18467-2504041815--32385-1-10968-2504042357,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504041720--32573-0-10968-2504042000,business,0,3.67,527,American Airlines,American Airlines
18467-2504040645--32573-0-10968-2504040929,business,0,3.73,649,American Airlines,American Airlines
18467-2504041329--32573-0-10968-2504041614,business,0,3.75,593,American Airlines,Envoy Air
18467-2504041514--32573-1-10968-2504041916,first,1,1.92,1173,American Airlines,Envoy Air
18467-2504041514--32573-1-10968-2504041916,first,1,2.52,1173,American Airlines,American Airlines
18467-2504040630--32573-1-10968-2504041056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504040630--32573-1-10968-2504041056,first,1,2.68,809,American Airlines,American Airlines
18467-2504041315--32573-1-10968-2504041756,first,1,1.92,809,American Airlines,Envoy Air
18467-2504041315--32573-1-10968-2504041756,first,1,2.63,809,American Airlines,American Airlines
18467-2504051220--31679-1-10968-2504051646,economy,1,2.28,457,Westjet,Delta Air Lines
18467-2504051220--31679-1-10968-2504051646,economy,1,2.35,457,Westjet,Delta Air Lines
18467-2504050745--31679-1-10968-2504051243,economy,1,2.38,457,Westjet,Delta Air Lines
18467-2504050745--31679-1-10968-2504051243,economy,1,2.35,457,Westjet,Delta Air Lines
18467-2504051815--31679-1-10968-2504052357,economy,1,2.4,457,Westjet,Delta Air Lines
18467-2504051815--31679-1-10968-2504052357,economy,1,2.38,457,Westjet,Delta Air Lines
18467-2504050615--31679-1-10968-2504051243,economy,1,2.52,457,Westjet,Delta Air Lines
18467-2504050615--31679-1-10968-2504051243,economy,1,2.35,457,Westjet,Delta Air Lines
18467-2504051220--32385-1-10968-2504051646,premium_economy,1,2.28,608,Delta Air Lines,Delta Air Lines
18467-2504051220--32385-1-10968-2504051646,premium_economy,1,2.35,608,Delta Air Lines,Delta Air Lines
18467-2504050615--32385-1-10910-2504051105,premium_economy,1,2.52,581,Delta Air Lines,Delta Air Lines
18467-2504050745--32385-1-10968-2504051243,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504050745--32385-1-10968-2504051243,premium_economy,1,2.35,581,Delta Air Lines,Delta Air Lines
18467-2504051220--32385-1-10910-2504051751,premium_economy,1,2.28,608,Delta Air Lines,Delta Air Lines
18467-2504051815--32385-1-10968-2504052357,premium_economy,1,2.4,581,Delta Air Lines,Delta Air Lines
18467-2504051815--32385-1-10968-2504052357,premium_economy,1,2.38,581,Delta Air Lines,Delta Air Lines
18467-2504051720--32573-0-10968-2504052000,business,0,3.67,527,American Airlines,American Airlines
18467-2504050645--32573-0-10968-2504050929,business,0,3.73,788,American Airlines,American Airlines
18467-2504051329--32573-0-10968-2504051614,business,0,3.75,555,American Airlines,Envoy Air
18467-2504051400--31722-0-10968-2504051634,first,0,3.57,596,United Airlines,Air Canada
18467-2504051940--31722-0-10968-2504052214,first,0,3.57,596,United Airlines,Air Canada
18467-2504050630--32573-1-10968-2504051056,first,1,1.92,809,American Airlines,Envoy Air
18467-2504050630--32573-1-10968-2504051056,first,1,2.68,809,American Airlines,American Airlines
18467-2504050615--32385-1-10910-2504051105,first,1,2.52,770,Delta Air Lines,Delta Air Lines
18467-2504050800--31722-1-10968-2504051322,first,1,1.92,618,United Airlines,Jazz Aviation
18467-2504050800--31722-1-10968-2504051322,first,1,2.78,618,United Airlines,United Airlines
18467-2504050700--31722-1-10968-2504051322,first,1,2.05,618,United Airlines,Republic Airline United Express
18467-2504050700--31722-1-10968-2504051322,first,1,2.78,618,United Airlines,United Airlines
"18390-2504060700--31954,-31825-2-10968-2504061735",economy,2,0.98,329,Porter Airlines,Porter Airlines Inc
"18390-2504061155--31954,-31825-2-10968-2504062254",economy,2,2.65,370,Spirit Airlines,Spirit Airlines
"18390-2504060700--31954,-31825-3-10968-2504062358",economy,3,0.98,296,Porter Airlines,Porter Airlines Inc
18467-2504060615--32385-1-10910-2504061126,premium_economy,1,2.48,581,Delta Air Lines,Delta Air Lines
18467-2504061720--32573-0-10968-2504062000,business,0,3.67,527,American Airlines,American Airlines
