itinerary_id,flight_number,origin_airport,destination_airport,departure_date_time,arrival_date_time,is_self_transfer
18467-2504010745--31679-1-10968-2504011249,6340,YYZ,ATL,2025-04-01 07:45:00,2025-04-01 10:17:00,True
18467-2504010745--31679-1-10968-2504011249,6482,ATL,DFW,2025-04-01 11:20:00,2025-04-01 12:49:00,True
"18390-2504010700--31954,-31825-2-10968-2504011735",2205,YTZ,YOW,2025-04-01 07:00:00,2025-04-01 07:59:00,True
18467-2504010615--32385-1-10910-2504011111,2662,YYZ,ATL,2025-04-01 06:15:00,2025-04-01 08:49:00,True
18467-2504010745--32385-1-10968-2504011249,2988,YYZ,ATL,2025-04-01 07:45:00,2025-04-01 10:17:00,True
18467-2504010745--32385-1-10968-2504011249,414,ATL,DFW,2025-04-01 11:20:00,2025-04-01 12:49:00,True
18467-2504011220--32385-1-10910-2504011753,2835,YYZ,ATL,2025-04-01 12:20:00,2025-04-01 14:40:00,True
18467-2504011324--32573-0-10968-2504011614,3993,YYZ,DFW,2025-04-01 13:24:00,2025-04-01 16:14:00,True
18467-2504011715--32573-0-10968-2504012010,1111,YYZ,DFW,2025-04-01 17:15:00,2025-04-01 20:10:00,True
18467-2504010645--32573-0-10968-2504010940,1169,YYZ,DFW,2025-04-01 06:45:00,2025-04-01 09:40:00,True
18467-2504011940--31722-0-10968-2504012214,8019,YYZ,DFW,2025-04-01 19:40:00,2025-04-01 22:14:00,True
18467-2504011400--31722-0-10968-2504011634,8130,YYZ,DFW,2025-04-01 14:00:00,2025-04-01 16:34:00,True
18467-2504011314--32573-1-10968-2504011741,4731,YYZ,ORD,2025-04-01 13:14:00,2025-04-01 14:09:00,True
18467-2504011314--32573-1-10968-2504011741,2257,ORD,DFW,2025-04-01 15:02:00,2025-04-01 17:41:00,True
18467-2504010615--32573-1-10968-2504011047,3524,YYZ,ORD,2025-04-01 06:15:00,2025-04-01 07:30:00,True
18467-2504010615--32573-1-10968-2504011047,481,ORD,DFW,2025-04-01 08:05:00,2025-04-01 10:47:00,True
18467-2504011644--32573-1-10968-2504012133,3608,YYZ,ORD,2025-04-01 16:44:00,2025-04-01 17:44:00,True
18467-2504011644--32573-1-10968-2504012133,550,ORD,DFW,2025-04-01 18:45:00,2025-04-01 21:33:00,True
"18390-2504020700--31954,-31825-2-10968-2504021735",2205,YTZ,YOW,2025-04-02 07:00:00,2025-04-02 07:59:00,True
"18390-2504021155--31954,-31825-2-10968-2504022254",611,ATL,DFW,2025-04-02 21:15:00,2025-04-02 22:54:00,True
"18390-2504020900--31954,-31825-2-10968-2504022254",611,ATL,DFW,2025-04-02 21:15:00,2025-04-02 22:54:00,True
18467-2504020615--32385-1-10910-2504021111,2662,YYZ,ATL,2025-04-02 06:15:00,2025-04-02 08:49:00,True
18467-2504020745--32385-1-10968-2504021249,2988,YYZ,ATL,2025-04-02 07:45:00,2025-04-02 10:17:00,True
18467-2504020745--32385-1-10968-2504021249,414,ATL,DFW,2025-04-02 11:20:00,2025-04-02 12:49:00,True
18467-2504020745--32385-1-10968-2504021440,2988,YYZ,ATL,2025-04-02 07:45:00,2025-04-02 10:17:00,True
18467-2504020745--32385-1-10968-2504021440,921,ATL,DFW,2025-04-02 13:17:00,2025-04-02 14:40:00,True
18467-2504020615--32385-2-10968-2504021440,921,ATL,DFW,2025-04-02 13:17:00,2025-04-02 14:40:00,True
18467-2504021324--32573-0-10968-2504021614,3993,YYZ,DFW,2025-04-02 13:24:00,2025-04-02 16:14:00,True
18467-2504021715--32573-0-10968-2504022010,1111,YYZ,DFW,2025-04-02 17:15:00,2025-04-02 20:10:00,True
18467-2504020645--32573-0-10968-2504020940,1169,YYZ,DFW,2025-04-02 06:45:00,2025-04-02 09:40:00,True
18467-2504021940--31722-0-10968-2504022214,8019,YYZ,DFW,2025-04-02 19:40:00,2025-04-02 22:14:00,True
18467-2504021400--31722-0-10968-2504021634,8130,YYZ,DFW,2025-04-02 14:00:00,2025-04-02 16:34:00,True
18467-2504020900--31722-1-10968-2504021332,1538,YYZ,ORD,2025-04-02 09:00:00,2025-04-02 10:01:00,True
18467-2504020900--31722-1-10968-2504021332,307,ORD,DFW,2025-04-02 10:45:00,2025-04-02 13:32:00,True
18467-2504020615--32573-1-10968-2504021300,3524,YYZ,ORD,2025-04-02 06:15:00,2025-04-02 07:30:00,True
18467-2504020615--32573-1-10968-2504021300,1109,ORD,DFW,2025-04-02 10:15:00,2025-04-02 13:00:00,True
"18390-2504030700--31954,-31825-2-10968-2504031735",2205,YTZ,YOW,2025-04-03 07:00:00,2025-04-03 07:59:00,True
18467-2504030745--32385-1-10968-2504031243,2988,YYZ,ATL,2025-04-03 07:45:00,2025-04-03 10:08:00,True
18467-2504030745--32385-1-10968-2504031243,414,ATL,DFW,2025-04-03 11:22:00,2025-04-03 12:43:00,True
18467-2504030615--32385-1-10910-2504031126,2662,YYZ,ATL,2025-04-03 06:15:00,2025-04-03 08:44:00,True
18467-2504031815--32385-1-10968-2504032357,2714,YYZ,ATL,2025-04-03 18:15:00,2025-04-03 20:39:00,True
18467-2504031815--32385-1-10968-2504032357,818,ATL,DFW,2025-04-03 22:34:00,2025-04-03 23:57:00,True
18467-2504031324--32573-0-10968-2504031614,3993,YYZ,DFW,2025-04-03 13:24:00,2025-04-03 16:14:00,True
18467-2504030645--32573-0-10968-2504030940,1169,YYZ,DFW,2025-04-03 06:45:00,2025-04-03 09:40:00,True
18467-2504031715--32573-0-10968-2504032010,1111,YYZ,DFW,2025-04-03 17:15:00,2025-04-03 20:10:00,True
18467-2504031400--31722-0-10968-2504031634,8130,YYZ,DFW,2025-04-03 14:00:00,2025-04-03 16:34:00,True
18467-2504031940--31722-0-10968-2504032214,8019,YYZ,DFW,2025-04-03 19:40:00,2025-04-03 22:14:00,True
18467-2504030615--32573-1-10968-2504031047,3524,YYZ,ORD,2025-04-03 06:15:00,2025-04-03 07:30:00,True
