stop_count,duration_in_hours,one_way_price_candollar,cabin_class_id,operating_airline_id,marketing_airline_id,itinerary_id
1,2.53,477,cc1,al4,al16,it1
1,2.48,477,cc1,al4,al16,it1
2,0.98,253,cc1,al10,al11,it2
1,2.57,581,cc2,al4,al4,it3
1,2.53,581,cc2,al4,al4,it4
1,2.48,581,cc2,al4,al4,it4
1,2.33,581,cc2,al4,al4,it5
0,3.83,649,cc3,al5,al2,it6
0,3.92,527,cc3,al2,al2,it7
0,3.92,649,cc3,al2,al2,it8
0,3.57,827,cc4,al3,al15,it9
0,3.57,1049,cc4,al3,al15,it10
1,1.92,670,cc4,al17,al2,it11
1,2.65,670,cc4,al2,al2,it11
1,2.25,549,cc4,al5,al2,it12
1,2.7,549,cc4,al2,al2,it12
1,2.0,549,cc4,al5,al2,it13
1,2.8,549,cc4,al2,al2,it13
2,0.98,253,cc1,al10,al11,it14
2,2.65,263,cc1,al14,al14,it15
2,2.65,263,cc1,al14,al14,it16
1,2.57,581,cc2,al4,al4,it17
1,2.53,581,cc2,al4,al4,it18
1,2.48,581,cc2,al4,al4,it18
1,2.53,560,cc2,al4,al4,it19
1,2.38,560,cc2,al4,al4,it19
2,2.38,560,cc2,al4,al4,it20
0,3.83,527,cc3,al5,al2,it21
0,3.92,527,cc3,al2,al2,it22
0,3.92,649,cc3,al2,al2,it23
0,3.57,596,cc4,al3,al15,it24
0,3.57,827,cc4,al3,al15,it25
1,2.02,618,cc4,al15,al15,it26
1,2.78,618,cc4,al15,al15,it26
1,2.25,549,cc4,al5,al2,it27
1,2.75,549,cc4,al2,al2,it27
2,0.98,284,cc1,al10,al11,it28
1,2.38,581,cc2,al4,al4,it29
1,2.35,581,cc2,al4,al4,it29
1,2.48,581,cc2,al4,al4,it30
1,2.4,581,cc2,al4,al4,it31
1,2.38,581,cc2,al4,al4,it31
0,3.83,593,cc3,al5,al2,it32
0,3.92,649,cc3,al2,al2,it33
0,3.92,788,cc3,al2,al2,it34
0,3.57,596,cc4,al3,al15,it35
0,3.57,596,cc4,al3,al15,it36
1,2.25,549,cc4,al5,al2,it37
1,2.7,549,cc4,al2,al2,it37
1,2.38,486,cc1,al4,al16,it38
1,2.35,486,cc1,al4,al16,it38
1,2.48,489,cc1,al4,al16,it39
1,2.4,457,cc1,al4,al16,it40
1,2.38,457,cc1,al4,al16,it40
1,2.38,460,cc1,al4,al16,it41
1,2.48,460,cc1,al4,al16,it42
1,2.48,581,cc2,al4,al4,it43
1,2.4,581,cc2,al4,al4,it44
1,2.38,581,cc2,al4,al4,it44
0,3.67,527,cc3,al2,al2,it45
0,3.73,649,cc3,al2,al2,it46
0,3.75,593,cc3,al5,al2,it47
1,1.92,1173,cc4,al5,al2,it48
1,2.52,1173,cc4,al2,al2,it48
1,1.92,809,cc4,al5,al2,it49
1,2.68,809,cc4,al2,al2,it49
1,1.92,809,cc4,al5,al2,it50
1,2.63,809,cc4,al2,al2,it50
1,2.28,457,cc1,al4,al16,it51
1,2.35,457,cc1,al4,al16,it51
1,2.38,457,cc1,al4,al16,it52
1,2.35,457,cc1,al4,al16,it52
1,2.4,457,cc1,al4,al16,it53
1,2.38,457,cc1,al4,al16,it53
1,2.52,457,cc1,al4,al16,it54
1,2.35,457,cc1,al4,al16,it54
1,2.28,608,cc2,al4,al4,it55
1,2.35,608,cc2,al4,al4,it55
1,2.52,581,cc2,al4,al4,it56
1,2.38,581,cc2,al4,al4,it57
1,2.35,581,cc2,al4,al4,it57
1,2.28,608,cc2,al4,al4,it58
1,2.4,581,cc2,al4,al4,it59
1,2.38,581,cc2,al4,al4,it59
0,3.67,527,cc3,al2,al2,it60
0,3.73,788,cc3,al2,al2,it61
0,3.75,555,cc3,al5,al2,it62
0,3.57,596,cc4,al3,al15,it63
0,3.57,596,cc4,al3,al15,it64
1,1.92,809,cc4,al5,al2,it65
1,2.68,809,cc4,al2,al2,it65
1,2.52,770,cc4,al4,al4,it56
1,1.92,618,cc4,al8,al15,it66
1,2.78,618,cc4,al15,al15,it66
1,2.05,618,cc4,al12,al15,it67
1,2.78,618,cc4,al15,al15,it67
2,0.98,329,cc1,al10,al11,it68
2,2.65,370,cc1,al14,al14,it69
3,0.98,296,cc1,al10,al11,it70
1,2.48,581,cc2,al4,al4,it71
0,3.67,527,cc3,al2,al2,it72
0,3.73,649,cc3,al2,al2,it73
0,3.75,649,cc3,al5,al2,it74
0,3.57,827,cc4,al3,al15,it75
0,3.57,827,cc4,al3,al15,it76
1,1.92,670,cc4,al5,al2,it77
1,2.68,670,cc4,al2,al2,it77
1,2.02,739,cc4,al15,al15,it78
1,2.78,739,cc4,al15,al15,it78
1,2.05,618,cc4,al13,al15,it79
1,2.78,618,cc4,al15,al15,it79
1,2.02,618,cc4,al15,al15,it80
1,2.78,618,cc4,al15,al15,it80
2,0.98,267,cc1,al10,al11,it81
2,2.65,296,cc1,al14,al14,it82
1,2.48,581,cc2,al4,al4,it83
1,2.4,581,cc2,al4,al4,it84
1,2.38,581,cc2,al4,al4,it84
1,2.38,581,cc2,al4,al4,it85
0,3.67,527,cc3,al2,al2,it86
0,3.73,788,cc3,al2,al2,it87
0,3.75,649,cc3,al5,al2,it88
1,1.92,809,cc4,al5,al2,it89
1,2.52,809,cc4,al2,al2,it89
1,1.92,670,cc4,al5,al2,it90
1,2.68,670,cc4,al2,al2,it90
1,1.92,809,cc4,al5,al2,it91
1,2.63,809,cc4,al2,al2,it91
0,3.57,400,cc1,al3,al3,it92
0,3.57,400,cc1,al3,al3,it93
0,3.57,398,cc1,al3,al15,it94
0,3.73,398,cc1,al2,al2,it95
0,3.75,398,cc1,al5,al2,it96
0,3.75,405,cc1,al5,al1,it97
2,2.65,157,cc1,al14,al14,it98
1,2.48,581,cc2,al4,al4,it99
1,2.38,581,cc2,al4,al4,it100
1,2.35,581,cc2,al4,al4,it100
