itinerary_id,cabin_class,price_formatted,flight_number,origin_airport,destination_airport,duration_minutes,stop_count,marketing_airline,operating_airline,is_self_transfer,score,Departure Date,Departure Time,Arrival Date,Arrival Time
18467-2504010745--31679-1-10968-2504011249,economy,C$477,6340,Toronto Pearson International,Atlanta Hartsfield-Jackson,152,1,American Airlines,American Airlines,False,0.544887,2025-04-01,07:45:00,2025-04-01,10:17:00
18467-2504010745--31679-1-10968-2504011249,economy,C$477,6482,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,149,1,American Airlines,American Airlines,False,0.544887,2025-04-01,11:20:00,2025-04-01,12:49:00
"18390-2504010700--31954,-31825-2-10968-2504011735",economy,C$253,2205,Toronto Island,Ottawa International,59,2,American Airlines,Envoy Air,True,0.462699,2025-04-01,07:00:00,2025-04-01,07:59:00
18467-2504010615--32385-1-10910-2504011111,premium_economy,C$581,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,154,1,American Airlines,American Airlines,False,0.576769,2025-04-01,06:15:00,2025-04-01,08:49:00
18467-2504010745--32385-1-10968-2504011249,premium_economy,C$581,2988,Toronto Pearson International,Atlanta Hartsfield-Jackson,152,1,United Airlines,Air Canada,False,0.5653,2025-04-01,07:45:00,2025-04-01,10:17:00
18467-2504010745--32385-1-10968-2504011249,premium_economy,C$581,414,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,149,1,United Airlines,United Airlines,False,0.5653,2025-04-01,11:20:00,2025-04-01,12:49:00
18467-2504011220--32385-1-10910-2504011753,premium_economy,C$581,2835,Toronto Pearson International,Atlanta Hartsfield-Jackson,140,1,United Airlines,United Airlines,False,0.538065,2025-04-01,12:20:00,2025-04-01,14:40:00
18467-2504011324--32573-0-10968-2504011614,business,C$649,3993,Toronto Pearson International,Dallas Fort Worth International,230,0,Delta Air Lines,Delta Air Lines,False,0.894173,2025-04-01,13:24:00,2025-04-01,16:14:00
18467-2504011715--32573-0-10968-2504012010,business,C$527,1111,Toronto Pearson International,Dallas Fort Worth International,235,0,American Airlines,Envoy Air,False,0.999,2025-04-01,17:15:00,2025-04-01,20:10:00
18467-2504010645--32573-0-10968-2504010940,business,C$649,1169,Toronto Pearson International,Dallas Fort Worth International,235,0,American Airlines,American Airlines,False,0.795642,2025-04-01,06:45:00,2025-04-01,09:40:00
18467-2504011940--31722-0-10968-2504012214,first,C$827,8019,Toronto Pearson International,Dallas Fort Worth International,214,0,American Airlines,American Airlines,False,0.999,2025-04-01,19:40:00,2025-04-01,22:14:00
18467-2504011400--31722-0-10968-2504011634,first,"C$1,049",8130,Toronto Pearson International,Dallas Fort Worth International,214,0,United Airlines,Air Canada,False,0.715434,2025-04-01,14:00:00,2025-04-01,16:34:00
18467-2504011314--32573-1-10968-2504011741,first,C$670,4731,Toronto Pearson International,Chicago O'Hare International,115,1,United Airlines,Air Canada,False,0.566809,2025-04-01,13:14:00,2025-04-01,14:09:00
18467-2504011314--32573-1-10968-2504011741,first,C$670,2257,Chicago O'Hare International,Dallas Fort Worth International,159,1,American Airlines,Envoy Air,False,0.566809,2025-04-01,15:02:00,2025-04-01,17:41:00
18467-2504010615--32573-1-10968-2504011047,first,C$549,3524,Toronto Pearson International,Chicago O'Hare International,135,1,American Airlines,American Airlines,False,0.78815,2025-04-01,06:15:00,2025-04-01,07:30:00
18467-2504010615--32573-1-10968-2504011047,first,C$549,481,Chicago O'Hare International,Dallas Fort Worth International,162,1,Westjet,Delta Air Lines,False,0.78815,2025-04-01,08:05:00,2025-04-01,10:47:00
18467-2504011644--32573-1-10968-2504012133,first,C$549,3608,Toronto Pearson International,Chicago O'Hare International,120,1,Westjet,Delta Air Lines,False,0.92173,2025-04-01,16:44:00,2025-04-01,17:44:00
18467-2504011644--32573-1-10968-2504012133,first,C$549,550,Chicago O'Hare International,Dallas Fort Worth International,168,1,Westjet,Delta Air Lines,False,0.92173,2025-04-01,18:45:00,2025-04-01,21:33:00
"18390-2504020700--31954,-31825-2-10968-2504021735",economy,C$253,2205,Toronto Island,Ottawa International,59,2,Westjet,Delta Air Lines,True,0.606563,2025-04-02,07:00:00,2025-04-02,07:59:00
"18390-2504021155--31954,-31825-2-10968-2504022254",economy,C$263,611,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,159,2,Delta Air Lines,Delta Air Lines,True,0.462181,2025-04-02,21:15:00,2025-04-02,22:54:00
"18390-2504020900--31954,-31825-2-10968-2504022254",economy,C$263,611,Atlanta Hartsfield-Jackson,Dallas Fort Worth International,159,2,Delta Air Lines,Delta Air Lines,True,0.385329,2025-04-02,21:15:00,2025-04-02,22:54:00
18467-2504020615--32385-1-10910-2504021111,premium_economy,C$581,2662,Toronto Pearson International,Atlanta Hartsfield-Jackson,154,1,Spirit Airlines,Spirit Airlines,False,0.539112,2025-04-02,06:15:00,2025-04-02,08:49:00
